state,county_name,municipality,name,address,polling_place_type
SD,Hutchinson,Olivet,Courthouse Conference Room,"140 Euclid, Olivet",polling_place
SD,Hutchinson,Menno,Menno Fire Hall,"302 S 5th St, Menno",polling_place
SD,Hutchinson,Parkston,Parkston American Legion Hall,"221 W Main St, Parkston",polling_place
SD,Hutchinson,Dimock,St. Peter  Paul Parrish Hall,"146 W 1st, Dimock",polling_place
SD,Hutchinson,Tripp,Tripp Area Emergency Service Center,"306 S Main Street, Tripp",polling_place
SD,Hyde,Highmore,Hyde County Memorial Auditorium - Main Arena,"125 2nd ST SW, Highmore",vote_center
SD,Jackson,Belvidere,Belvidere Fellowship Hall,"807 1st St, Belvidere",polling_place
SD,Jackson,Phillip,Cottonwood Range Field Station,"23720 Fairview Rd, Phillip",polling_place
SD,Jackson,Interior,Green Valley Fire Hall,"20545 May Rd, Interior",polling_place
SD,Jackson,Interior,Interior Community Center,"117 6th Avenue, Interior",polling_place
SD,Jackson,Kadoka,Jackson County Courthouse 3,"700 Main St, Kadoka",polling_place
SD,Jackson,Kadoka,Jackson County Courthouse 4,"700 Main Street, Kadoka",polling_place
SD,Jackson,Long Valley,Long Valley School,"26840 SD Hwy 73, Long Valley",polling_place
SD,Jerauld,Alpena,Alpena Community Center,"307 Main Street, Alpena",polling_place
SD,Jerauld,Wessington Springs,Jerauld County 4-H Building,"604 2nd Street NE, Wessington Springs",polling_place
SD,Jones,Draper,Draper Town Hall,"193 N Main Street, Draper",polling_place
SD,Jones,Murdo,Murdo Auditorium,"307 Kennedy Avenue, Murdo",polling_place
SD,Kingsbury,Arlington,Arlington City Hall,"202 W Elm St, Arlington",polling_place
SD,Kingsbury,Badger,Badger American Legion Hall,"Main Street, Badger",polling_place
SD,Kingsbury,Iroquois,Iroquois Fire Hall,"120 Ottowa St. S, Iroquois",polling_place
SD,Kingsbury,De Smet,Kingsbury County 4-H Building,"107 Lyle Ave NE, De Smet",polling_place
SD,Kingsbury,Lake Preston,Lake Preston Community Room,"215 N Main, Lake Preston",polling_place
SD,Kingsbury,Oldham,Oldham School Gym,"112 S Epton Avenue, Oldham",polling_place
SD,Lake,Chester,Chester Fire Hall,"407 2nd St, Chester",polling_place
SD,Lake,Madison,Dakota Prairie Playhouse,"1205 N Washington Ave, Madison",polling_place
SD,Lake,Nunda,Nunda Fire Hall,"410 Main St, Nunda",polling_place
SD,Lake,Ramona,Ramona Parish Hall,"120 W 3rd St, Ramona",polling_place
SD,Lake,Wentworth,Wentworth Fire Hall,"425 S Main St, Wentworth",polling_place
SD,Lawrence,Lead,Copper Mountain Resort,"900 Miners Avenue, Lead",polling_place
SD,Lawrence,Deadwood,Lawrence County Administrative Annex,"90 Sherman Street, Deadwood",polling_place
SD,Lawrence,Nemo,Nemo Church,"12755 Nemo Road, Nemo",polling_place
SD,Lawrence,Spearfish,Spearfish Park Pavilion,"115 S Canyon Street, Spearfish",polling_place
SD,Lawrence,Spearfish,Spearfish Senior Citizen's Center,"1306 N 10th Street, Spearfish",polling_place
SD,Lawrence,St Onge,St Onge Community Hall,"234 1st Street, St Onge",polling_place
SD,Lawrence,Whitewood,Whitewood City Hall,"1025 Meade Street, Whitewood",polling_place
SD,Lincoln,Beresford,Beresford Public Library,"115 S. 3rd St., Beresford",polling_place
SD,Lincoln,Canton,Canton Methodist Church,"621 E. 4th St., Canton",polling_place
SD,Lincoln,Sioux Falls,Central Baptist Church,"3100 W. Ralph Rogers Rd., Sioux Falls",polling_place
SD,Lincoln,Sioux Falls,Crosswalk Community Church,"6101 S Mogen Ave, Sioux Falls",polling_place
SD,Lincoln,Sioux Falls,Faith Baptist Fellowship Church,"601 W. 57th St., Sioux Falls",polling_place
SD,Lincoln,Lennox,First English Lutheran Church,"120 E 2nd Ave, Lennox",polling_place
