state,county_name,municipality,precinct_name,name,address,polling_place_type
SD,Davison,Mitchell,Precinct-16,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-17,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-18,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-19,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-20,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-20,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Day,Webster,Precinct-01,Day County Courthouse Rm#101,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Precinct-02,Day County Courthouse Rm#101,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Precinct-03,Day County Courthouse Rm#101,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Precinct-04,Day County Courthouse Rm#101,"711 W. 1st St, Webster",polling_place
SD,Day,Waubay,Precinct-05,Waubay Legion,"20 E. 2nd Ave, Waubay",polling_place
SD,Day,Waubay,Precinct-06,Waubay Legion,"20 E. 2nd Ave, Waubay",polling_place
SD,Day,Webster,Precinct-07,Day County Courthouse Rm#205,"711 W. 1st St, Webster",polling_place
SD,Day,Bristol,Precinct-08,Bristol Community Center,"86 S Main St, Bristol",polling_place
SD,Day,Webster,Precinct-09,Day County Courthouse Rm#104,"711 W. 1st St, Webster",polling_place
SD,Day,Andover,Precinct-10,Andover Senior Center,"100 S Main St, Andover",polling_place
SD,Day,Roslyn,Precinct-11,Roslyn City Hall,"600 Main St, Roslyn",polling_place
SD,Day,Pierpont,Precinct-12,Pierpont Community Center,"101 W Main St, Pierpont",polling_place
SD,Day,Grenville,Precinct-13,St. Joseph's Hall,"Main St, Grenville",polling_place
SD,Day,Bristol,Precinct-14,Bristol Community Center,"86 S Main St, Bristol",polling_place
SD,Deuel,Clear Lake,Precinct-01,Dakota Ridge Lodge,"47743 172nd St, Clear Lake",polling_place
SD,Deuel,Brandt,Precinct-03,Brandt Community Center,"102 Main St, Brandt",polling_place
SD,Deuel,Clear Lake,Precinct-04,Clear Lake Community Center,"218 3rd Ave. S., Clear Lake",polling_place
SD,Deuel,Clear Lake,Precinct-06,Clear Lake Community Center,"218 3rd Ave. S., Clear Lake",polling_place
SD,Deuel,Goodwin,Precinct-07,Goodwin Fire Hall,"125 N Bowdoin St., Goodwin",polling_place
SD,Deuel,Gary,Precinct-08,Gary Fire Hall,"114 1st Ave., Gary",polling_place
SD,Deuel,Clear Lake,Precinct-09,Clear Lake Community Center,"218 3rd Ave. S., Clear Lake",polling_place
SD,Deuel,Astoria,Precinct-10,Astoria Legion Hall,"341 Main Street, Astoria",polling_place
SD,Deuel,Toronto,Precinct-11,Toronto Community Rm. (FireHall),"460 Main Ave, Toronto",polling_place
SD,Dewey,Trail City,Precinct-02 Trail City,Trail City Community Hall,"N Hwy 20, Trail City",polling_place
SD,Dewey,Timber Lake,Precinct-04 Timber Lake,Timber Lake Community Center,"700 Main Street, Timber Lake",polling_place
SD,Dewey,Timber Lake,Precinct-05 Firesteel,Dewey Co. Courthouse,"710 C St, Timber Lake",polling_place
SD,Dewey,Isabel,Precinct-06 Isabel,Isabel Senior Center,"412 N  Main, Isabel",polling_place
SD,Dewey,Eagle Butte,Precinct-07 Eagle Butte East,CRST Senior Nutrition Site,"East Knott's Landing Rd, Eagle Butte",polling_place
SD,Dewey,White Horse,Precinct-08 White Horse,White Horse Community Center,"West Main Avenue, White Horse",polling_place
SD,Dewey,Promise,Precinct-09 Promise,St. Catherine Hall/Promise,"S 1806 and N of Promisetownsite, Promise",polling_place
SD,Dewey,LaPlant,Precinct-11Swiftbird/LaPlant,UCC Church Hall/LaPlant,"Virgin Creek Road, LaPlant",polling_place
SD,Dewey,Eagle Butte,Precinct-12 Eagle ButteNorth,CRST Cultural Center,"Hwy 212, Eagle Butte",polling_place
SD,Dewey,Eagle Butte,Precinct-13 Eagle ButteNorth,CRST Cultural Center,"Hwy 212, Eagle Butte",polling_place
SD,Dewey,Eagle Butte,Precinct-14 Eagle ButteSouth,Landmark Hall,"south end of Main St east sideof street, Eagle Butte",polling_place
SD,Dewey,Eagle Butte,Precinct-15 Eagle ButteWest,Eagle Butte Volunteer Fire Hall,"Willow St, Eagle Butte",polling_place
SD,Douglas,Harrison,Precinct-1,Harrison Community Church,"390 Lecocq St., Harrison",polling_place
SD,Douglas,Corsica,Precinct-2,Community Building- Corsica,"335 East Main St., Corsica",polling_place
SD,Douglas,Delmont,Precinct-3,Community Center-Delmont,"105 West Main St., Delmont",polling_place
SD,Douglas,Armour,Precinct-4,Armour Fire Hall,"1103 Braddock Ave., Armour",polling_place
SD,Douglas,Armour,Precinct-5,4-H Center- Armour,"39182 280th St., Armour",polling_place
SD,Edmunds,Mina,Precinct-1,The M Station,"800 Nesbitt Drive, Mina",polling_place
SD,Edmunds,Ipswich,Precinct-3,Ipswich 4-H Building,"515 7th St, Ipswich",polling_place
SD,Edmunds,Roscoe,Precinct-4,Roscoe Fire Hall,"208 N Mitchell St, Roscoe",polling_place
SD,Edmunds,Bowdle,Precinct-5,Bowdle Multi-Purpose Center,"8001 W 5th St, Bowdle",polling_place
SD,Edmunds,Hosmer,Precinct-6,Hosmer Fire Hall,"315 S Chapman Ave, Hosmer",polling_place
SD,Fall River,Oral,BEA,Oral School,"27600 W Oral Rd, Oral",polling_place
