election_date,state,jurisdiction_type,county_name,polling_place_id,precinct_id,name,address
2018-11-06,GA,county,BLECKLEY,012002,1,JC FAIRGROUNDS," 12TH & ASH ST, COCHRAN, GA 31014"
2018-11-06,GA,county,BRANTLEY,013006,1,HOBOKEN COMMUNITY CENTER,"235 CHICAGO AVE, HOBOKEN, GA 31542"
2018-11-06,GA,county,BRANTLEY,013003,2,SENIOR CITIZENS CENTER,"789 BURTON ST, NAHUNTA, GA 31553"
2018-11-06,GA,county,BRANTLEY,013010,3,WAYNESVILLE BAPTIST CHURCH,"25530 HWY 82, WAYNESVILLE, GA 31566"
2018-11-06,GA,county,BROOKS,014011,1230,BARWICK COMMUNITY CENTER,"190 MASSEY ST, BARWICK, GA 31720"
2018-11-06,GA,county,BROOKS,014007,1402,DIXIE COMMUNITY CENTER,"5110 DIXIE ROAD, DIXIE, GA 31629"
2018-11-06,GA,county,BROOKS,014008,1650,EAST BROOKS FIRE DEPARTMENT,"1290 CATES RD, VALDOSTA, GA 31602"
2018-11-06,GA,county,BROOKS,014009,660,MORVEN CITY HALL,"178 2ND ST, MORVEN, GA 31638"
2018-11-06,GA,county,BROOKS,014001,1199,QUITMAN AGRICULTURAL ANNEX,"400 E COURTLAND AVE, QUITMAN, GA 31643"
2018-11-06,GA,county,BROOKS,014010,659,SOUTH BROOKS FIRE DEPARTMENT,"7246 MADISON HWY, QUITMAN, GA 31643"
2018-11-06,GA,county,BROOKS,014006,1712,STATION 1300 (PAVO) FIRE DEPARTMENT,"522 HARRIS  STREET, PAVO, GA 31778"
2018-11-06,GA,county,BRYAN,015007,3,BLACK CREEK ADMIN,"8810 HIGHWAY 280 E, BLACK CREEK, GA 31308"
2018-11-06,GA,county,BRYAN,015013,8,BRYAN CO ADMINISTRATION BLDG,"66 CAPT MATTHEW FREEMAN, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BRYAN,015011,10,DANIELSIDING BAPTIST CHURCH,"580 DANIELSIDING LOOP RD, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BRYAN,015002,4,FIRST BAPTIST CHURCH,"9184 FORD AVENUE, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BRYAN,015020,1,HARN COMMUNITY CENTER,"91 LANIER ST, PEMBROKE, GA 31321"
2018-11-06,GA,county,BRYAN,015003,2,HENDRIX PARK GYM,"4060 WILMA EDWARDS RD, ELLABELL, GA 31308"
2018-11-06,GA,county,BRYAN,015005,6,JOHN W. STEVENS WETLAND EDU.CT,"600 CEDAR ST, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BRYAN,015010,7,NEW LIFE CHURCH,"16252 GA HWY 144, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BRYAN,015015,9,PUBLIC SAFETY COMPX,"1955 SGT MICHAEL W LARSON DR, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BRYAN,015022,5,RICHMOND HILL RECREATION COMPX,"508 TIMBER TRAIL, RICHMOND HILL, GA 31324"
2018-11-06,GA,county,BULLOCH,016002,3,BLDG @ CLITO/HWY 24 INTERSECTION,"5023 CLITO RD, STATESBORO, GA 30461"
2018-11-06,GA,county,BULLOCH,016001,6,BLDG BESIDE BAY FIRE DEPARTMENT,"63 LANIER RD, PEMBROKE, GA 31321"
2018-11-06,GA,county,BULLOCH,016010,7,BLDG BESIDE NEVILS FIRE DEPT,"122 NEVILS DENMARK RD, PEMBROKE, GA 31321"
2018-11-06,GA,county,BULLOCH,016004,4,BROOKLET REC DEPT,"416 NORTH CROMLEY ROAD, BROOKLET, GA 30415"
2018-11-06,GA,county,BULLOCH,016008,10,EMIT PRECINCT BUILDING,"3023 HARVILLE ROAD, STATESBORO, GA 30458"
2018-11-06,GA,county,BULLOCH,016009,13,KIWANIS FAIRGROUNDS,"16942 HIGHWAY 67, STATESBORO, GA 30458"
2018-11-06,GA,county,BULLOCH,016019,16,LEEFIELD FIRE DEPARTMENT,"30 LEE AVE, BROOKLET, GA 30415"
2018-11-06,GA,county,BULLOCH,016003,1,LOCKHART PRECINCT BLDG,"4508 ROCKYFORD RD, PORTAL, GA 30450"
2018-11-06,GA,county,BULLOCH,016007,2,MIDDLEGROUND COMMUNITY BLDG,"1757 METTS RD, STATESBORO, GA 30461"
2018-11-06,GA,county,BULLOCH,016018,15,PITTMAN PARK UNITED METHODIST CHURCH,"1102 FAIR RD, STATESBORO, GA 30458"
2018-11-06,GA,county,BULLOCH,016013,12,PORTAL CITY HALL,"27209 HIGHWAY 80 WEST, PORTAL, GA 30450"
2018-11-06,GA,county,BULLOCH,016006,9,REGISTER PRECINCT BLDG,"33 FOSTER RD, REGISTER, GA 30452"
2018-11-06,GA,county,BULLOCH,016015,14,STATESBORO PRIMITIVE BAPTIST CHURCH,"4 SOUTH ZETTEROWER AVE, STATESBORO, GA 30458"
2018-11-06,GA,county,BULLOCH,016016,5,STILSON COMMUNITY BLDG,"16894 HWY 119 CONN, BROOKLET, GA 30415"
2018-11-06,GA,county,BULLOCH,016011,8,UNION BAPTIST CHURCH SOCIAL HALL,"1934 UNION CHURCH RD, REGISTER, GA 30452"
2018-11-06,GA,county,BULLOCH,016017,11,WILLIAM JAMES EDUCATIONAL COMPLEX,"150 WILLIAMS ROAD, STATESBORO, GA 30458"
2018-11-06,GA,county,BURKE,017022,0016,BURKE COUNTY OFFICE PARK,"715 W 6TH ST, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017001,0015,BURKE COUNTY RECREATION DEPT. GYM,"208 GA HIGHWAY 24 S, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017024,0014,BURKE COUNTY SENIOR CITIZEN BUILDING,"717 W 6TH, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017006,0001,FIRE STATION #10,"4627 GA HIGHWAY 24 S, SARDIS, GA 30456"
2018-11-06,GA,county,BURKE,017007,0011,FIRE STATION #11,"5289 GA HIGHWAY 23 S, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017008,0005,FIRE STATION #2,"1593 SPRING BRANCH CHURCH ROAD, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017010,0004,FIRE STATION #6,"9987 GA HIGHWAY 305, KEYSVILLE, GA 30816"
2018-11-06,GA,county,BURKE,017012,0010,FIRE STATION #8,"6340 GA HIGHWAY 56 S, MILLEN, GA 30442"
2018-11-06,GA,county,BURKE,017013,0008,FIRE STATION #9,"4595 ALEXANDER-MUNNERLYN ROAD, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017002,0012,FOREST HILL BAPTIST CHURCH,"2458 GOUGH RED HILL RD, KEYSVILLE, GA 30816"
2018-11-06,GA,county,BURKE,017014,0003,GIRARD CITY HALL,"150 B BRIGHAM LANDING RD, GIRARD, GA 30426"
2018-11-06,GA,county,BURKE,017011,0002,HOPEFUL BAPTIST CHURCH,"2973 WINTER ROAD, BLYTHE, GA 30805"
2018-11-06,GA,county,BURKE,017015,0007,MIDVILLE COMMUNITY HOUSE,"196 KILPATRICK STREET, MIDVILLE, GA 30441"
2018-11-06,GA,county,BURKE,017017,0009,SARDIS CITY COUNCIL ROOM,"1209 ELLISON BRIDGE RD., SARDIS, GA 30456"
2018-11-06,GA,county,BURKE,017018,0013,VIDETTE CITY HALL,"7052 GA HIGHWAY 24 W, WAYNESBORO, GA 30830"
2018-11-06,GA,county,BURKE,017009,0006,WALKER BUILDING-HUMAN RESOURCE,"480 MARTIN LUTHER KING DRIVE, KEYSVILLE, GA 30816"
2018-11-06,GA,county,BUTTS,018012,BCAB,ELECTION OFFICE ADMIN BLDG,"625 W THIRD ST, JACKSON, GA 30233"
2018-11-06,GA,county,CALHOUN,019001,2,CALHOUN CO BD OF COMMISSIONERS,"28007 MAIN ST, MORGAN, GA 39866"
2018-11-06,GA,county,CALHOUN,019007,5,JIMMY C HARPE COMMUNITY CENTER,"326 MLK JR DR, ARLINGTON, GA 39813"
2018-11-06,GA,county,CALHOUN,019002,1,LEARY LIBRARY,"4454 E MAIN ST, LEARY, GA 39862"
2018-11-06,GA,county,CALHOUN,019011,4,OLD CITY HALL-NORTH ENTRANCE,"460 TURNER ST, EDISON, GA 39846"
2018-11-06,GA,county,CALHOUN,019012,3,OLD CITY HALL-SOUTH ENTRANCE,"460 TURNER ST, EDISON, GA 39846"
2018-11-06,GA,county,CAMDEN,020035,08,BOARD OF EDUCATION ANNEX,"333 SOUTH ASHLEY STREET, KINGSLAND, GA 31548"
2018-11-06,GA,county,CAMDEN,020001,04,BROWNTOWN FIRE STATION,"3858 GEORGIA HWY 40 WEST, KINGSLAND, GA 31548"
2018-11-06,GA,county,CAMDEN,020009,07,CHAMBER OF COMMERCE,"531 NORTH LEE STREET, KINGSLAND, GA 31548"
2018-11-06,GA,county,CAMDEN,020002,13,CHARLIE SMITH SR FIRE STATION,"3557 CHARLIE SMITH SR HWY, SAINT MARYS, GA 31558"
2018-11-06,GA,county,CAMDEN,020006,05,HARRIETTS BLUFF FIRE STATION,"7261 HARRIETTS BLUFF RD, WOODBINE, GA 31569"
2018-11-06,GA,county,CAMDEN,020007,06,KINGSLAND ELEMENTARY SCHOOL,"900 WEST KING AVENUE, KINGSLAND, GA 31548"
2018-11-06,GA,county,CAMDEN,020038,11,MARY LEE CLARK ELEMENTARY SCH,"318 MICKLER DR, SAINT MARYS, GA 31558"
2018-11-06,GA,county,CAMDEN,020037,09,PSA BUILDING,"1050 WILDCAT DR, KINGSLAND, GA 31548"
2018-11-06,GA,county,CAMDEN,020010,14,SAINT MARYS MIDDLE SCHOOL,"205 MARTHA DR, SAINT MARYS, GA 31558"
2018-11-06,GA,county,CAMDEN,020052,10,SALVATION ARMY - GEORGIA ROOM,"1915 OSBORNE RD, SAINT MARYS, GA 31558"
2018-11-06,GA,county,CAMDEN,020052,12,SALVATION ARMY - GEORGIA ROOM,"1915 OSBORNE RD, SAINT MARYS, GA 31558"
2018-11-06,GA,county,CAMDEN,020011,01,TARBORO FIRE STATION,"377 NEW POST RD, WHITE OAK, GA 31568"
2018-11-06,GA,county,CAMDEN,020013,02,WAVERLY FIRE STATION,"25399 HWY 17, WAVERLY, GA 31565"
2018-11-06,GA,county,CAMDEN,020014,03,WOODBINE CITY HALL,"310 BEDELL AVENUE, WOODBINE, GA 31569"
2018-11-06,GA,county,CANDLER,021002,1685,JACK STRICKLAND COMMUNITY CENTER,"621 W PINE STREET, METTER, GA 30439"
2018-11-06,GA,county,CANDLER,021002,1733,JACK STRICKLAND COMMUNITY CENTER,"621 W PINE STREET, METTER, GA 30439"
