state,county_name,jurisdiction_type,precinct_name,name,address,polling_location_type
OK,,county,OKLAHOMA COUNTY PRECINCT 550205,FIRST CHURCH,131 NW 4TH STREET OKLAHOMA CITY OK 73102-6211,polling_location
OK,,county,TULSA COUNTY PRECINCT 720068,BROOKSIDE LIBRARY,1207 E 45 PL TULSA OK 74105,polling_location
OK,,county,TULSA COUNTY PRECINCT 720147,NOGALES AVE BAPTIST CHURCH,30 S NOGALES AVE TULSA OK 74127,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550019,CHOCTAW COMMUNITY CENTER,2500 N CHOCTAW ROAD CHOCTAW OK 73020,polling_location
OK,,county,STEPHENS COUNTY PRECINCT 690053,LAKESIDE BAPTIST CHURCH,RT 2 BOX 291 B MARLOW OK 73055,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550055,FIRST CHRISTIAN CHURCH,2ND AND BOULEVARD EDMOND OK 73083,polling_location
OK,,county,BLAINE COUNTY PRECINCT 060002,OKEENE COMMUNITY BUILDING,116 WEST E STREET OKEENE OK 73763,polling_location
OK,,county,LOGAN COUNTY PRECINCT 420105,LAKEVIEW BAPTIST CHURCH,SOONER & SEWARD ROAD GUTHRIE OK 73044,polling_location
OK,,county,TULSA COUNTY PRECINCT 720163,HARVARD AVE CHRISTIAN CHURCH,5502 S HARVARD AVE TULSA OK 74135,polling_location
OK,,county,ROGERS COUNTY PRECINCT 660001,FIRST UNITED METHODIST CHURCH,1615 N HWY 88 CLAREMORE OK 74017,polling_location
OK,,county,TEXAS COUNTY PRECINCT 700305,GUYMON CITY HALL MTG. RM.,219 NW 4TH STREET GUYMON OK 73942,polling_location
OK,,county,McCURTAIN COUNTY PRECINCT 450029,GOLDEN COMMUNITY BUILDING,GOLDEN COMMUNITY GOLDEN OK 74737,polling_location
OK,,county,TULSA COUNTY PRECINCT 720851,BROADWAY BAPTIST CHURCH,1000 N ADAMS RD SAND SPRINGS OK 74063,polling_location
OK,,county,TULSA COUNTY PRECINCT 720012,JACKSON ELEMENTARY SCHOOL,2137 N PITTSBURG AVE TULSA OK 74115,polling_location
OK,,county,BRYAN COUNTY PRECINCT 070018,CALERA METHODIST FELLOWSHIP BG,110 WEST TONNER ST CALERA OK 74730,polling_location
