state,election_date,jurisdiction,county_name,precinct_name,name,address,polling_location_type
AR,2018-11-06,county,,Has-4 OZ 02 JP 06 CD 03,Hasty Firestation,  AR ,polling_location
AR,2018-11-06,county,,Has-5 OM 01 JP 06 CD 03,Hasty Firestation,  AR ,polling_location
AR,2018-11-06,county,,10-1,Central Community Church,15775 Hwy 163 Trumann AR 72472,polling_location
AR,2018-11-06,county,,13-1 CD1 JP02 SEN25 DZ3 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13-2 CD1 JP02 SEN25 DZ1 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13-3 CD1 JP03 SEN25 DZ4 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14-1 CD1 JP03 SEN25 DZ4 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.2 CD1 JP02 SEN25 DZ3 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.3 CD1 JP01 SEN25 DZ1 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.4 CD1 JP04 SEN25 DZ3 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13.4 CD1 JP03 SEN25 DZ1 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13.5 CD1 JP03 SEN25 DZ3 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13.6 CD1 JP02 SEN25 DZ4 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.5 CD1 JP02 SEN25 DZ4 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.6 CD1 JP02 SEN25 DZ3 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.7 CD1 JP04 SEN25 DZ4 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13.7 CD1 JP01 SEN25 DZ2 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13.8 CD1 JP02 SEN25 DZ2 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.8 CD1 JP04 SEN25 DZ2 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.9 CD1 JP01 SEN25 DZ4 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.10 CD1 JP02 SEN25 DZ2 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.11 CD1 JP01 SEN25 DZ2 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,13.9 CD1 JP01 SEN25 DZ1 RW1,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,14.12 CD1 JP03 SEN25 DZ1 RW2,St. Peters Rock Church,100 North Cherry Street Dumas AR 71639,polling_location
AR,2018-11-06,county,,Bos-1 DM SZ 05 JP 07 SD 04,New Davis Store,New Davis Store  AR ,polling_location
