state,jurisdiction_type,county_name,municipality,precinct_id,name,address
ME,county,Aroostook,EAGLE LAKE,1-1,Eagle Lake Municipal Building ,"36 Devoe Brook Road, Eagle Lake "
ME,county,Washington,EAST MACHIAS,1-1,East Machias Municipal Building ,"571 Main Street, East Machias "
ME,county,Penobscot,EAST MILLINOCKET ,1-1,East Millinocket Municipal Building ,"53 Main Street, East Millinocket "
ME,county,Hancock,EASTBROOK,1-1,Eastbrook Community Center,"959 Eastbrook Road, Eastbrook "
ME,county,Aroostook,EASTON,1-1,Easton Town Office ,"3 Station Road, Easton "
ME,county,Washington,EASTPORT,1-1,Shead High School ,"89 High Street, Eastport "
ME,county,Penobscot,EDDINGTON,1-1,Eddington Municipal Building-Meeting Room,"906 Main Road, Eddington "
ME,county,Lincoln,EDGECOMB,1-1,Edgecomb Town Hall ,"16 Town Hall Road, Edgecomb "
ME,county,Penobscot,EDINBURG,1-1,Edinburg Town Building,"595 Edinburg Road, Edinburg "
ME,county,York,ELIOT,1-1,Marshwood Middle School ,"626 Harold L. Dow Highway, Eliot "
ME,county,Hancock,ELLSWORTH,1-1,Ellsworth City Hall Auditorium ,"1 City Hall Plaza, Ellsworth "
ME,county,Hancock,ELLSWORTH,2-1,Your Place Community Center ,"4 Old Mill Road, Ellsworth "
ME,county,Hancock,ELLSWORTH,3-1,Maine Coast Baptist Church Gymnasium ,"867 Bangor Road, Ellsworth "
ME,county,Hancock,ELLSWORTH,4-1,Ellsworth City Hall - Council Chambers ,"1 City Hall Plaza, Ellsworth "
ME,county,Somerset,EMBDEN,1-1,Embden Town Office ,"809 Embden Pond Road, Embden "
ME,county,Penobscot,ENFIELD,1-1,Cole Memorial Building,"789 Hammett Road, Enfield "
ME,county,Penobscot,ETNA ,All,Etna Community Hall ,"17 Shadow Lane, Etna"
ME,county,Franklin,EUSTIS,1-1,Eustis Town Office ,"88 Main Street, Eustis"
ME,county,Penobscot,EXETER,1-1,Exeter Town Office ,"1221 Stetson Road, Exeter "
ME,county,Somerset,FAIRFIELD,1-1,Fairfield Community Center ,"61 Water Street, Fairfield "
ME,county,Cumberland,FALMOUTH ,All,Falmouth High School ,"74 Woodville Road, Falmouth "
ME,county,Kennebec,FARMINGDALE ,1-1,Hall-Dale Middle School Gymnasium,"111 Maple Street, Farmingdale "
ME,county,Franklin,FARMINGTON,1-1,Farmington Community Center ,"127 Middle Street, Farmington"
ME,county,Kennebec,FAYETTE,1-1,Starling Grange Hall ,"2769 Main Street, Fayette "
ME,county,Aroostook,FORT FAIRFIELD,1-1,Fort Fairfield Community Center ,"18 Community Center Drive, Fort Fairfield "
ME,county,Aroostook,FORT KENT,All,Fort Kent Town Office ,"416 West Main Street, Fort Kent "
ME,county,Waldo,FRANKFORT,1-1,Frankfort Elementary School ,"112 North Searsport Road, Frankfort "
ME,county,Hancock,FRANKLIN,1-1,Franklin Community Center-Meeting Room ,"34 Main Street, Franklin "
ME,county,Waldo,FREEDOM ,1-1,Freedom Town Office-Election Hall,"71 Pleasant Street, Freedom "
ME,county,Cumberland,FREEPORT,1-1,Freeport High School Gymnasium ,"Holbrook Street, Freeport "
ME,county,Hancock,FRENCHBORO,1-1,Frenchboro Community Building,"1 Executive Drive, Frenchboro"
ME,county,Aroostook,FRENCHVILLE,1-1,Frenchville Community Center ,"343-A US Route 1, Frenchville "
ME,county,Knox,FRIENDSHIP,1-1,Friendship Town Office ,"6 Harbor Road, Friendship "
ME,county,Cumberland,FRYE ISLAND,1-1,Ferry Office,"7 Ferry Landing Road, Raymond, Frye Island"
ME,county,Oxford,FRYEBURG,1-1,American Legion Building,"Bradley Street, Fryeburg "
ME,county,Kennebec,GARDINER,All,Boys & Girls Club ,"14 Pray Street, Gardiner "
ME,county,Aroostook,GARFIELD PLT,1-1,Garfield Town Garage,"8 Cross Road, Garfield Plt"
ME,county,Penobscot,GARLAND,1-1,Garland Town Office ,"5 Dexter Road, Garland "
ME,county,Sagadahoc,GEORGETOWN ,1-1,Georgetown Central School ,"52 Bay Point Road, Georgetown "
