state,election_date,jurisdiction_type,jurisdiction,precinct_name,precinct_id,name,address,polling_place_type
CT,2016-11-08,town,Cheshire,Norton School - Dist. 4,004-00,Norton School - Dist. 4,"414 N. Brooksvale Rd, Cheshire, CT 06410",polling_place
CT,2016-11-08,town,Chester,Chester Town Office Building,001-00,Chester Town Office Building,"203 Middlesex Avenue, Chester, CT 06412",polling_place
CT,2016-11-08,town,Clinton,Andrews Memorial Town Hall,001-00,Andrews Memorial Town Hall,"54 East Main Street, Clinton, CT 06413",polling_place
CT,2016-11-08,town,Clinton,Andrews Memorial Town Hall,002-00,Andrews Memorial Town Hall,"54 East Main Street, Clinton, CT 06413",polling_place
CT,2016-11-08,town,Colchester,Assembly Of God Hall,002-00,Assembly Of God Hall,"Corner Of Middletown Rd. & Skinner Road, Colchester, CT 06415",polling_place
CT,2016-11-08,town,Colchester,Assembly Of God Hall,004-00,Assembly Of God Hall,"Corner Of Middletown Rd. & Skinner Road, Colchester, CT 06415",polling_place
CT,2016-11-08,town,Colchester,Bacon Academy,003-00,Bacon Academy,"Norwich Avenue, Colchester, CT 06415",polling_place
CT,2016-11-08,town,Colchester,Colchester Town Hall,001-00,Colchester Town Hall,"127 Norwich Avenue, Colchester, CT 06415",polling_place
CT,2016-11-08,town,Colebrook,Colebrook Town Hall,001-00,Colebrook Town Hall,"562 Colebrook Road, Colebrook, CT 06021",polling_place
CT,2016-11-08,town,Columbia,Horace W Porter School,001-00,Horace W Porter School,"3 Schoolhouse Rd, Columbia, CT 06237",polling_place
CT,2016-11-08,town,Cornwall,Town Hall,001-00,Town Hall,"26 Pine Street, Cornwall, CT 06753",polling_place
CT,2016-11-08,town,Coventry,Coventry Grammer School,002-00,Coventry Grammer School,"2453 Main Street, Coventry, CT 06238",polling_place
CT,2016-11-08,town,Coventry,George Hersey Robertson School,001-00,George Hersey Robertson School,"227 Cross Street, Coventry, CT 06238",polling_place
CT,2016-11-08,town,Cromwell,Cromwell High School,001-01,Cromwell High School,"Donald Harris Drive, Cromwell, CT 06416",polling_place
CT,2016-11-08,town,Danbury,Danbury High School,001-09,Danbury High School,"Beckerle Street, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Danbury High School Gym,001-10,Danbury High School Gym,"Beckerle Street, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Danbury High School Gym,001-38,Danbury High School Gym,"Beckerle Street, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Pembroke School Gym,002-08,Pembroke School Gym,"34 Pembroke Road - Route 37, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Pembroke School Gym,002-09,Pembroke School Gym,"34 Pembroke Road - Route 37, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Pembroke School Gym,002-38,Pembroke School Gym,"34 Pembroke Road - Route 37, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Park Avenue School Gym,006-02,Park Avenue School Gym,"82 Park Avenue, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Park Avenue School Gym,006-10,Park Avenue School Gym,"82 Park Avenue, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Park Avenue School Gym,006-38,Park Avenue School Gym,"82 Park Avenue, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Stadley Rough School,003-07,Stadley Rough School,"25 Karen Road, Danbury, CT 06811",polling_place
CT,2016-11-08,town,Danbury,Stadley Rough School,003-09,Stadley Rough School,"25 Karen Road, Danbury, CT 06811",polling_place
CT,2016-11-08,town,Danbury,Shelter Rock School Gym,004-09,Shelter Rock School Gym,"2 Crows Nest Lane, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Shelter Rock School Gym,004-10,Shelter Rock School Gym,"2 Crows Nest Lane, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,War Memorial Gym,005-02,War Memorial Gym,"Memorial Drive, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,War Memorial Gym,005-09,War Memorial Gym,"Memorial Drive, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,War Memorial Gym,005-10,War Memorial Gym,"Memorial Drive, Danbury, CT 06810",polling_place
CT,2016-11-08,town,Danbury,Westside Middle School Academy,007-02,Westside Middle School Academy,"1 School Ridge Road, Danbury, CT 06811",polling_place
CT,2016-11-08,town,Danbury,Westside Middle School Academy,007-10,Westside Middle School Academy,"1 School Ridge Road, Danbury, CT 06811",polling_place
CT,2016-11-08,town,Danbury,Westside Middle School Academy,007-38,Westside Middle School Academy,"1 School Ridge Road, Danbury, CT 06811",polling_place
CT,2016-11-08,town,Darien,District 1 - 35 Leroy Avenue Municipal Building,001-00,District 1 - 35 Leroy Avenue Municipal Building,"35 Leroy Avenue, Darien, CT 06820",polling_place
CT,2016-11-08,town,Darien,District 2 - Darien Town Hall,002-00,District 2 - Darien Town Hall,"2 Renshaw Road, Darien, CT 06820",polling_place
CT,2016-11-08,town,Darien,District 3 - Noroton Heights Fire Department,003-00,District 3 - Noroton Heights Fire Department,"209 Noroton Avenue, Darien, CT 06820",polling_place
CT,2016-11-08,town,Darien,District 4 - Hindley School Gymnasium Entrance,004-00,District 4 - Hindley School Gymnasium Entrance,"10 Nearwater Lane, Darien, CT 06820",polling_place
CT,2016-11-08,town,Darien,District 5 - Darien Town Hall,005-00,District 5 - Darien Town Hall,"2 Renshaw Road, Darien, CT 06820",polling_place
CT,2016-11-08,town,Darien,District 6 - 35 Leroy Avenue Municipal Building,006-00,District 6 - 35 Leroy Avenue Municipal Building,"35 Leroy Avenue, Darien, CT 06820",polling_place
CT,2016-11-08,town,Deep River,Community Room Deep River Library,001-00,Community Room Deep River Library,"150 Main St., Deep River, CT 06417",polling_place
CT,2016-11-08,town,Derby,Bradley Elementary School,014-00,Bradley Elementary School,"David Humphrey Road, Derby, CT 06418",polling_place
CT,2016-11-08,town,Derby,Irving Elementary School,004-00,Irving Elementary School,"Garden Place, Derby, CT 06418",polling_place
CT,2016-11-08,town,Derby,Irving School-105,005-00,Irving School-105,"Garden Street, Derby, CT 06418",polling_place
CT,2016-11-08,town,Durham,Korn School 1,002-00,Korn School 1,"Pickett Lane, Durham, CT 06422",polling_place
CT,2016-11-08,town,Durham,Korn School 2,003-00,Korn School 2,"Pickett Lane, Durham, CT 06422",polling_place
CT,2016-11-08,town,Durham,Korn School 3,004-00,Korn School 3,"Pickett Lane, Durham, CT 06422",polling_place
CT,2016-11-08,town,East Granby,East Granby Community Center-1,001-00,East Granby Community Center-1,"District 61, East Granby, CT 06026",polling_place
CT,2016-11-08,town,East Haddam,Nathan Hale Ray High School,001-00,Nathan Hale Ray High School,"15 School Dr, Moodus, CT 06469",polling_place
CT,2016-11-08,town,East Hampton,East Hampton Middle School,001-00,East Hampton Middle School,"19 Childs Road, East Hampton, CT 06424",polling_place
CT,2016-11-08,town,East Hartford,Anna Norris School,001-00,Anna Norris School,"40 Remington Road, East Hartford, CT 06108",polling_place
CT,2016-11-08,town,East Hartford,Goodwin School,006-00,Goodwin School,"1235 Forbes Street, East Hartford, CT 06118",polling_place
CT,2016-11-08,town,East Hartford,Hockanum School,005-00,Hockanum School,"191 Main Street, East Hartford, CT 06118",polling_place
CT,2016-11-08,town,East Hartford,Langford School,002-00,Langford School,"61 Alps Drive, East Hartford, CT 06108",polling_place
CT,2016-11-08,town,East Hartford,Mayberry School,003-00,Mayberry School,"101 Great Hill Road, East Hartford, CT 06108",polling_place
CT,2016-11-08,town,East Hartford,Silver Lane School,004-00,Silver Lane School,"15 Mercer Avenue, East Hartford, CT 06118",polling_place
CT,2016-11-08,town,East Hartford,Saint Christopher Church Hall,007-00,Saint Christopher Church Hall,"544 Brewer Street, East Hartford, CT 06118",polling_place
CT,2016-11-08,town,East Haven,Deer Run School 3,003-00,Deer Run School 3,"Route 80, East Haven, CT 06513",polling_place
CT,2016-11-08,town,East Haven,Deer Run School 3-S,003-03,Deer Run School 3-S,"Route 80, East Haven, CT 06513",polling_place
CT,2016-11-08,town,East Haven,East Farm Village 1-S,001-03,East Farm Village 1-S,"55-65 Messina Drive, East Haven, CT 06512",polling_place
CT,2016-11-08,town,East Haven,Foxon Firehouse Clubhouse,005-00,Foxon Firehouse Clubhouse,"1420 North High St., East Haven, CT 06512",polling_place
CT,2016-11-08,town,East Haven,Momauguin School 2,002-00,Momauguin School 2,"93 Cosey Beach Road, East Haven, CT 06512",polling_place
CT,2016-11-08,town,East Haven,Overbrook School 4,004-00,Overbrook School 4,"54 Gerrish Avenue, East Haven, CT 06512",polling_place
CT,2016-11-08,town,East Haven,Tuttle School 1,001-00,Tuttle School 1,"108 Prospect Road, East Haven, CT 06512",polling_place
CT,2016-11-08,town,East Haven,Woodview 5-S,005-03,Woodview 5-S,"1270 North High Street, East Haven, CT 06512",polling_place
CT,2016-11-08,town,East Lyme,East Lyme High School,001-00,East Lyme High School,"Chesterfield Road, East Lyme, CT 06333",polling_place
CT,2016-11-08,town,East Lyme,East Lyme Community Center,002-00,East Lyme Community Center,"37 Society Road, Niantic, CT 06357",polling_place
CT,2016-11-08,town,East Lyme,East Lyme Community Center,003-00,East Lyme Community Center,"37 Society Road, Niantic, CT 06357",polling_place
CT,2016-11-08,town,East Windsor,Town Hall Annex,001-00,Town Hall Annex,"25 School Street, East Windsor, CT 06088",polling_place
CT,2016-11-08,town,East Windsor,Town Hall Annex,001-02,Town Hall Annex,"25 School Street, East Windsor, CT 06088",polling_place
CT,2016-11-08,town,East Windsor,Town Hall,002-00,Town Hall,"11 Rye Street, Broad Brook, CT 06016",polling_place
CT,2016-11-08,town,Eastford,Eastford Town Hall-Lower Level,001-00,Eastford Town Hall-Lower Level,"16 Westford Road, Eastford, CT 06242",polling_place
CT,2016-11-08,town,Easton,Samuel Staples School,001-00,Samuel Staples School,"515 Morehouse Rd, Easton, CT 06612",polling_place
CT,2016-11-08,town,Ellington,Crystal Lake School,002-00,Crystal Lake School,"59 South Road, Ellington, CT 06029",polling_place
CT,2016-11-08,town,Ellington,Ellington High School,001-00,Ellington High School,"37 Maple Street, Ellington, CT 06029",polling_place
CT,2016-11-08,town,Enfield,Enfield Street School,258-00,Enfield Street School,"1318 Enfield Street, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Enfield,Enrico Fermi High School,358-00,Enrico Fermi High School,"124 North Maple Street, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Enfield,Enrico Fermi High School,359-00,Enrico Fermi High School,"124 North Maple Street, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Enfield,Henry Barnard School District,458-00,Henry Barnard School District,"27 Shaker Road, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Enfield,Henry Barnard School District,459-00,Henry Barnard School District,"27 Shaker Road, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Enfield,J F K Middle School District,158-00,J F K Middle School District,"155 Raffia Road, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Enfield,J F K Middle School District,159-00,J F K Middle School District,"155 Raffia Road, Enfield, CT 06082",polling_place
CT,2016-11-08,town,Essex,Essex Town Hall 01,001-00,Essex Town Hall 01,"29 West Avenue, Essex, CT 06426",polling_place
CT,2016-11-08,town,Essex,Essex Town Hall 02,002-00,Essex Town Hall 02,"29 West Avenue, Essex, CT 06426",polling_place
CT,2016-11-08,town,Fairfield,Dwight School,001-34,Dwight School,"1600 Redding Road, Fairfield, CT 06824",polling_place
CT,2016-11-08,town,Fairfield,Fairfield Woods Middle School,003-32,Fairfield Woods Middle School,"1115 Fairfield Woods Road, Fairfield, CT 06825",polling_place
CT,2016-11-08,town,Fairfield,Fairfield Woods Middle School,003-34,Fairfield Woods Middle School,"1115 Fairfield Woods Road, Fairfield, CT 06825",polling_place
CT,2016-11-08,town,Fairfield,Fairfield Warde High School,005-33,Fairfield Warde High School,"755 Melville Avenue, Fairfield, CT 06825",polling_place
CT,2016-11-08,town,Fairfield,Fairfield Ludlowe High School,008-32,Fairfield Ludlowe High School,"785 Unquowa Road, Fairfield, CT 06824",polling_place
CT,2016-11-08,town,Fairfield,Holland Hill School,007-33,Holland Hill School,"200 Meadowcroft Road, Fairfield, CT 06824",polling_place
CT,2016-11-08,town,Fairfield,McKinley School,006-33,McKinley School,"60 Thompson Street, Fairfield, CT 06825",polling_place
CT,2016-11-08,town,Fairfield,Mill Hill School,010-32,Mill Hill School,"635 Mill Hill Terrace, Southport, CT 06890",polling_place
CT,2016-11-08,town,Fairfield,St Pius School,002-34,St Pius School,"834 Brookside Drive, Fairfield, CT 06824",polling_place
CT,2016-11-08,town,Fairfield,Stratfield School,004-33,Stratfield School,"1407 Melville Avenue, Fairfield, CT 06825",polling_place
CT,2016-11-08,town,Fairfield,Sherman School,009-32,Sherman School,"250 Fern Street, Fairfield, CT 06824",polling_place
CT,2016-11-08,town,Farmington,Community Center - District 2 Precinct 6,002-06,Community Center - District 2 Precinct 6,"321 New Britain Avenue, Unionville, CT 06085",polling_place
CT,2016-11-08,town,Farmington,Irving Robbins School - District 1 Precinct 1,001-01,Irving Robbins School - District 1 Precinct 1,"20 Wolf Pit Road, Farmington, CT 06032",polling_place
CT,2016-11-08,town,Farmington,Irving Robbins School - District 1 Precinct 2,001-02,Irving Robbins School - District 1 Precinct 2,"20 Wolf Pit Road, Farmington, CT 06032",polling_place
CT,2016-11-08,town,Farmington,Irving Robbins School - District 1 Precinct 3,001-03,Irving Robbins School - District 1 Precinct 3,"20 Wolf Pit Road, Farmington, CT 06032",polling_place
CT,2016-11-08,town,Farmington,Irving Robbins School - District 1 Precinct 4,001-04,Irving Robbins School - District 1 Precinct 4,"20 Wolf Pit Road, Farmington, CT 06032",polling_place
CT,2016-11-08,town,Farmington,Municipal Buildngs - FHS Library Town Hall,002-07,Municipal Buildngs - FHS Library Town Hall,"District 2 Precinct 7, Farmington, CT 06085",polling_place
CT,2016-11-08,town,Farmington,West Woods School - District 1 Precinct 5,001-05,West Woods School - District 1 Precinct 5,"50 Judson Lane, Farmington, CT 06032",polling_place
CT,2016-11-08,town,Franklin,Franklin Town Hall,001-00,Franklin Town Hall,"7 Meetinghouse Hill Road, Franklin, CT 06254",polling_place
CT,2016-11-08,town,Glastonbury,District 1 - Smith Middle School,001-00,District 1 - Smith Middle School,"216 Addison Road, Glastonbury, CT 06033",polling_place
CT,2016-11-08,town,Glastonbury,District 2 - Hebron Avenue School,002-00,District 2 - Hebron Avenue School,"1363 Hebron Avenue, Glastonbury, CT 06033",polling_place
