state,county_name,precinct_name,precinct_id,name,address
VA,,305 - PATTIE,305,PATTIE ELEMENTARY SCHOOL,16125 DUMFRIES RD DUMFRIES VA 22025
VA,,501 - PRATER,501,RUSSELL PRATER ELEM SCHOOL,8433 LOVERS GAP RD VANSANT VA 24656
VA,,502 - WASSONA,502,MARION SENIOR HIGH SCHOOL,848 Stage St Marion VA  24354-4004
VA,,201 - BLAND,201,GEORGE J MCINTOSH ELEM SCHOOL,185 Richneck Rd Newport News VA  23608-3009
VA,,604 - CIVIC CENTER,604,BIRCHDALE RECREATION CENTER,14730 Birchdale Ave Woodbridge VA  22193-1314
VA,,607 - KERRYDALE,607,KERRYDALE ELEMENTARY SCHOOL,13199 Kerrydale Rd Woodbridge VA  22193-5015
VA,,916 - WAPLES MILL,916,WAPLES MILL ELEMENTARY SCHOOL,11509 Waples Mill Rd Oakton VA  22124-2107
VA,,506 - BETHEL,506,BETHEL UNITED METHODIST CHURCH,13506 Minnieville Rd Woodbridge VA  22192-4203
VA,,211 - SIGNAL HILL,211,SIGNAL HILL ELEMENTARY SCHOOL,9553 Birmingham Drive Manassas VA 20111
VA,,102 - OCEAN VIEW SCHOOL,102,OCEAN VIEW ELEMENTARY SCHOOL,9501 Mason Creek Rd Norfolk VA  23503-2820
VA,,202 - MARSHALL,202,MARSHALL ELEMENTARY SCHOOL,12505 Kahns Road Manassas VA 20112
VA,,310 - KIRBY,310,MCLEAN HIGH SCHOOL,1633 Davidson Rd Mclean VA  22101-4305
VA,,201 - VIRGINIA AVENUE,201,VA AVE CHARLOT DEHAR ELEM SCH,550 Virginia Ave Winchester VA  22601-5610
VA,,702 - LIBRARY,702,POTOMAC BRANCH LIBRARY,2201 Opitz Blvd Woodbridge VA  22191-3309
VA,,602 - SIX HUNDRED TWO,602,WHITCOMB COURT RECREATION ROOM,2302 Carmine St Richmond VA  23223-3651
VA,,053 - FAIRWAYS,053,GREENBRIER CHURCH,1101 Volvo Parkway CHESAPEAKE VA 23320
VA,,402 - WALKER,402,NEW RIVER VALLEY FAIRGROUNDS,5581 FAIR GROUNDS CIRCLE Dublin VA 24084
VA,,206 - COLES,206,COLES ELEMENTARY SCHOOL,7405 Hoadly Road Manassas VA 20112
VA,,202 - EDGERTON,202,BRUNSWICK SENIOR TECH CENTER,92 SCHOOL DAYS DRIVE LAWRENCEVILLE VA 23868
VA,,002 - NORTH,002,GALAX PUBLIC LIBRARY MTG ROOM,610 W Stuart Dr Galax VA  24333-2718
VA,,302 - HAZEL RUN,302,SALEM CHURCH LIBRARY,2607 Salem Church Rd Fredericksburg VA  22407-6451
VA,,111 - BRISTOW RUN,111,BRISTOW RUN ELEMENTARY SCHOOL,8990 Worthington Dr Bristow VA  20136-5701
VA,,105 - OPAL,105,LIBERTY HIGH SCHOOL,6300 Independence Ave Bealeton VA  22712-6843
VA,,504 - LEBANON CHURCH,504,LEBANON CHURCH COMMUNITY CTR,43 Post Office Rd Lebanon Church VA  22641-1706
VA,,407 - HERITAGE HUNT,407,HERITAGE HUNT CLUBHOUSE,6901 Arthur Hills Dr Gainesville VA 20155
VA,,090 - LAKE JOYCE,090,MORNING STAR BAPTIST CHURCH,4780 First Court Rd Virginia Beach VA 23455
VA,,208 - HYLTON,208,HYLTON HIGH SCHOOL,14051 Spriggs Road Woodbridge VA 22193
VA,,235 - FRYING PAN,235,FARM PARK VISITOR CENTER,2739 W Ox Rd Herndon VA  20171-3807
VA,,101 - FARMVILLE,101,FARMVILLE AREA BUS,502 Doswell St Farmville VA  23901-1665
VA,,401 - PRECINCT 1 - DISTRICT FOUR,401,NEW CITY FELLOWSHIP CHURCH,200 PRINCE EDWARD STREET FREDERICKSBURG VA 22401
VA,,401 - BRIDGEWATER,401,BRIDGEWATER COMMUNITY CENTER,201 GREEN ST BRIDGEWATER VA  22812-1125
VA,,508 - SPRINGWOODS,508,SPRINGWOODS ELEMENTARY SCHOOL,3815 Marquis Pl Woodbridge VA  22192-6228
VA,,101 - PLYMOUTH,101,FIRE & RESCUE SQUAD BUILDING,1421 Main St Victoria VA  23974-9201
VA,,110 - BUCKLAND MILLS,110,BUCKLAND MILLS ELEM SCHOOL,10511 Wharfdale Pl Gainesville VA  20155-4871
VA,,017 - OCEAN PARK,017,BAYSIDE COMMUNITY REC CENTER,4500 First Court Rd Virginia Beach VA  23455-2863
