county_name,precinct_name,name,address,polling_place_type,state,polling_place_id,notes,precinct_id
Gila,GISELA VALLEY COMMUNITY CENTER,GISELA VALLEY COMMUNITY CENTER,"136 SOUTH TATUM BLVD, PAYSON, AZ 85541",polling_place,AZ,,,
Gila,GLOBE ELKS - VOTE CENTER,GLOBE ELKS,"1910 E MAPLE STREET, GLOBE, AZ 85501",vote_center,AZ,,,
Gila,HAYDEN/WINKELMAN SCHOOL AUDITORIUM,HAYDEN/WINKELMAN SCHOOL AUDITORIUM,"824 THORN AVENUE, WINKELMAN, AZ",polling_place,AZ,,,
Gila,MIAMI HIGH SCHOOL- VOTE CENTER,MIAMI HIGH SCHOOL,"4635 SOUTH RAGUS RD, MIAMI, AZ 85539",vote_center,AZ,,,
Gila,PLEASANT VALLEY COMMUNITY CENTER,PLEASANT VALLEY COMMUNITY CENTER,"72000 AZ HWY 288, YOUNG, AZ 85554",polling_place,AZ,,,
Gila,RICE GYM,RICE GYM,"MOHAVE AVE & YAVAPAI ST, SAN CARLOS, AZ 85550",polling_place,AZ,,,
Gila,RIM VIEW COMMUNITY CHURCH - VOTE CENTER,RIM VIEW COMMUNITY CHURCH,"4180 S AZ HWY 260, STAR VALLEY, AZ 85541",vote_center,AZ,,,
Gila,ROOSEVELT BAPTIST CHURCH,ROOSEVELT BAPTIST CHURCH,"18659 AZ HWY 188, ROOSEVELT, AZ 85545",polling_place,AZ,,,
Gila,TONTO BASIN CHAMBER OF CHAMBER,TONTO BASIN CHAMBER OF CHAMBER,"45675 AZ HWY 188, TONTO BASIN, AZ 85553",polling_place,AZ,,,
Graham,BONITA SCHOOL,BONITA SCHOOL,"18008 S FT GRANT RD, BONITA, AZ 85643",polling_place,AZ,,,
Graham,ROBERT OLIVAR SR. LEARNING CENTER,ROBERT OLIVAR SR. LEARNING CENTER,"297 E US HWY 70, BYLAS, AZ 85530",polling_place,AZ,,,
Graham,SAN CARLOS HOUSING AUTHORITY,SAN CARLOS HOUSING AUTHORITY,"MOONBASE RD, PERIDOT, AZ 85542",polling_place,AZ,,,
Graham,VC1 - SOLOMON SCHOOL GYM,VOTE CENTER,GRAHAM COUNTY VOTE CENTER,vote_center,AZ,,,
Graham,"VC2 - AG BLDG., FAIR GROUNDS",VOTE CENTER,GRAHAM COUNTY VOTE CENTER,vote_center,AZ,,,
Graham,VC3 - ST ROSE OF LIMA CATHOLIC CHURCH,VOTE CENTER,GRAHAM COUNTY VOTE CENTER,vote_center,AZ,,,
Graham,VC4 - EASTERN AZ COLLEGE FINE ARTS AUDITORIUM,VOTE CENTER,GRAHAM COUNTY VOTE CENTER,vote_center,AZ,,,
Graham,VC5 - PIMA SCHOOL,VOTE CENTER,COUNTY VOTE CENTER,vote_center,AZ,,,
