state,jurisdiction_type,precinct_name,name,address,municipality,notes
VT,town/city,Rochester,Rochester Town Office,67 School St,Rochester,
VT,town/city,Rockingham,Masonic Temple,61 Westminster St.,Rockingham,
VT,town/city,Roxbury,Roxbury Town Office,1664 Roxbury Road,Roxbury,
VT,town/city,Royalton,South Royalton School Gym,223 South Windsor Street,Royalton,
VT,town/city,Rupert,Town Office,187 East Street,Rupert,
VT,town/city,Rutland (Ward 1),Godnick Center,22 Deer Street,Rutland (Ward 1),
VT,town/city,Rutland (Ward 2),Christ the King School,South Main Street,Rutland (Ward 2),
VT,town/city,Rutland (Ward 3),American Legion,33 Washington Street,Rutland (Ward 3),
VT,town/city,Rutland (Ward 4),Calvary Bible Church,2 Meadow Way,Rutland (Ward 4),
VT,town/city,Rutland Town,Rutland Town Elementary School/Town Hall,1612 Post Road/181 U.S. Route 4,Rutland Town,
VT,town/city,Ryegate,Ryegate Town Hall,134 Witherspoon Road,Ryegate,
VT,town/city,Salisbury,Salisbury Town Office,25 Schoolhouse Road,Salisbury,
VT,town/city,Sandgate,Sandgate Town Office,3266 Sandgate Road,Sandgate,
VT,town/city,Searsburg,Town Clerks Office,18 Town Garage Road,Searsburg,
VT,town/city,Shaftsbury,Firehouse,160 Buck Hill Road,Shaftsbury,
VT,town/city,Sharon,Sharon Elementary School,75 VT Route 132,Sharon,
VT,town/city,Sheffield,Municipal Office,37 Dane Road,Sheffield,
VT,town/city,Shrewsbury,Shrewsbury Community Meeting House,88 Lottery Road,Shrewsbury,
VT,town/city,Shelburne,Municipal Building Gym,5420 Shelburne Road,Shelburne,
VT,town/city,Sheldon,Elementary School,78 Poor Farm Road,Sheldon,
VT,town/city,Shoreham,Town Offices,297 Main Street,Shoreham,
VT,town/city,"South Burlington, Chittenden, 7-1",Orchard School,2 Baldwin Avenue,"South Burlington, Chittenden, 7-1",
VT,town/city,"South Burlington, Chittenden, 7-2",FHT Middle School,500 Dorset Street,"South Burlington, Chittenden, 7-2",
VT,town/city,"South Burlington, Chittenden, 7-3",FHT Middle School,500 Dorset Street,"South Burlington, Chittenden, 7-3",
VT,town/city,"South Burlington, Chittenden, 7-4",Chamberlin School,262 White Street,"South Burlington, Chittenden, 7-4",
VT,town/city,South Hero,Town Office Building,333 Route 2,South Hero,
VT,town/city,Springfield,Riverside Middle School Gymnasium,13 Fairground Road,Springfield,
VT,town/city,St Albans Town,Collins Perley Sports Center,890 Fairfax Road,St Albans Town,
VT,town/city,St. Albans City,St. Albans City Hall,100 North Main Street,St. Albans City,
VT,town/city,St. Johnsbury,St. Johnsbury School,257 Western Ave.,St. Johnsbury,
VT,town/city,Stamford,Stamford Elementary School,986 Main Road,Stamford,
VT,town/city,Stannard,Stannard Town Hall,615 Stannard Mountain Road,Stannard,
VT,town/city,Starksboro,Robinson Elementary School,41 Parsonage Road,Starksboro,
VT,town/city,Stockbridge,Stockbridge Town Office,1722 VT Route 100,Stockbridge,
VT,town/city,Stowe,Akeley Memorial Building,67 Main Street,Stowe,
VT,town/city,Stratton,Stratton Town Office,9 W. Jamaica Road.,Stratton,
VT,town/city,Sudbury,Sudbury Town Hall,36 Blacksmith Lane,Sudbury,
VT,town/city,Sunderland,Town Offices,104 Mountain View Road,Sunderland,
VT,town/city,Sutton,Sutton School Multipurpose Room,95 Underpass Road,Sutton,
VT,town/city,Swanton,Swanton Village Complex,120 1st Street,Swanton,
VT,town/city,Thetford,Town Hall,3910 VT Route 113 ,Thetford,
VT,town/city,Tinmouth,Tinmouth Community Center,573 Route 140 ,Tinmouth,
VT,town/city,Topsham,Topsham Town Hall,6 Harts Road  ,Topsham,
VT,town/city,Townshend,Town Hall,2006 VT Route 30,Townshend,
VT,town/city,Troy,Troy Elementary School Gymnasium,126 Main Street,Troy,
VT,town/city,Tunbridge,Tunbridge Town Hall,27 VT RT 110,Tunbridge,
VT,town/city,Underhill,Town Hall,12 Pleasant Valley Road,Underhill,
VT,town/city,Vergennes,Fire Station,,Vergennes,
VT,town/city,Vernon,Town Office Building-Downstairs,567 Governor Hunt Road,Vernon,
VT,town/city,Vershire,Town Center Building,27 Vershire Center Road,Vershire,
VT,town/city,Victory,Victory Town Hall,"102 Radar Road, N. Concord",Victory,
VT,town/city,Waitsfield,Waitsfield Elementary School,3951 Main Street ,Waitsfield,
VT,town/city,Walden,Walden Emergency Services Building,12 VT Route 215,Walden,
VT,town/city,Wallingford,Wallingford Town Hall,75 School Street,Wallingford,
VT,town/city,Waltham,Waltham Town Hall,2053 Maple Street,Waltham,
VT,town/city,Wardsboro,Town Office,71 Main Street,Wardsboro,
VT,town/city,Warren,Warren Elementary School,293 School Road,Warren,
VT,town/city,Washington,Washington Town Hall,2895 Vermont Route 110,Washington,
VT,town/city,Waterbury,Thatcher Brook Primary School,47 Stowe Street ,Waterbury,
VT,town/city,Waterford,Waterford Elementary School,276 Duck Pond Road,Waterford,
VT,town/city,Waterville,Waterville Town Hall,544 VT Route 109,Waterville,
VT,town/city,Weathersfield,Martin Memorial Hall,"5259 US Route 5, Ascutney, VT",Weathersfield,
VT,town/city,Wells,Wells Town Office,1064 VT RT 30,Wells,
VT,town/city,West Fairlee,Community Building,870 Route 113 ,West Fairlee,
VT,town/city,West Haven,Community Hall,"2919 Main Road, Fair Haven",West Haven,
VT,town/city,West Rutland,Town Hall,35 Marble Street,West Rutland,
VT,town/city,West Windsor,Story Memorial Hall,22 Brownsville-Hartland Rd.,West Windsor,
VT,town/city,Westfield,Westfield Community Center,59 North Hill Rd.,Westfield,
VT,town/city,Westford,Westford School,146 Brookside Road,Westford,
VT,town/city,Westminster,Westminster Institute,3690 U.S. Route 5,Westminster,
VT,town/city,Westmore,Fellowship Hall,29 Hinton Hill Road,Westmore,
VT,town/city,Weston,Weston Town Office,12 Lawrence Hill Road,Weston,
VT,town/city,Weybridge,Town Clerk's Office,1727 Quaker Village Road,Weybridge,
VT,town/city,Wheelock,Wheelock Town Hall,1192 Route 122  ,Wheelock,
VT,town/city,Whiting,Town Hall,29 S. Main Street,Whiting,
VT,town/city,Whitingham,Whitingham Municipal Center,2948 VT Route 100,Whitingham,
VT,town/city,Williamstown,Williamstown Middle/High School,Hebert Road,Williamstown,
VT,town/city,Williston,Williston Central School Gymnasium,195 Central School Drive,Williston,
VT,town/city,Wilmington,Twin Valley Elementary School,360 VT Route 100 North,Wilmington,
VT,town/city,Windham,Windham Town Office,5976 Windham Hill Road,Windham,
VT,town/city,Windsor,Windsor Municipal Bldg. Rec. Ctr. Gym,29 Union Street,Windsor,
VT,town/city,Winhall,Town Hall,115 Vermont Route 30,Winhall,
VT,town/city,Winooski,Winooski Senior Center,123 Barlow St,Winooski,
VT,town/city,Wolcott,Wolcott Town Office,28 Railroad Street,Wolcott,
VT,town/city,Woodbury,Woodbury Town Hall,1672 VT Route 14,Woodbury,
VT,town/city,Woodford,Town Offices,1391 VT Route 9,Woodford,
VT,town/city,Woodstock,Town Hall,31 The Green,Woodstock,
VT,town/city,Worcester,Doty Elementary School,24 Calais Road,Worcester,
