state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MI,2012-11-06,county,,PRECINCT 1,FIRE STATION,M-60 & SOUTH MARSHALL STREET BURLINGTON MI 49029
MI,2012-11-06,county,,PRECINCT 3,NILES CHART TWP DPW,322 BELL ROAD NILES MI 49120
MI,2012-11-06,county,,PRECINCT 1,CLIFFORD MUNICIPAL,4548 MADISON CLIFFORD MI 48727
MI,2012-11-06,county,,PRECINCT 12,FIRE STATION #4,2401 GLENGARY RD WALLED LAKE MI 48390
MI,2012-11-06,county,,PRECINCT 1,BURT TOWNHALL,7029 BIRCHWOOD ROAD CHEBOYGAN MI 49721
MI,2012-11-06,county,,PRECINCT 1,ST LUKE LUTHERAN CHU,5589 VAN ATTA ROAD HASLETT MI 48840
MI,2012-11-06,county,,PRECINCT 1,ST PETER & PAUL CHUR,4735 W MICHIGAN SAGINAW MI 48638
MI,2012-11-06,county,,PRECINCT 1,CROWELL SCHOOL,1418 COOPER STREET ALBION MI 49224
MI,2012-11-06,county,,PRECINCT 1,ONEKAMA TOWNSHIP,5435 MAIN STREET ONEKAMA MI 49675
MI,2012-11-06,county,,PRECINCT 3,KC ROAD COMMISSION,11723 WHITE CREEK AVE CEDAR SPRINGS MI 49319
MI,2012-11-06,county,,PRECINCT 1,MILTON TOWNSHIP HALL,7023 CHERRY AVE KEWADIN MI 49648
MI,2012-11-06,county,,PRECINCT 11,PINORA TWP HALL,4032 S DEER LAKE RD REED CITY MI 49677
MI,2012-11-06,county,,PRECINCT 9,ALLEN PARK HIGH,18401 CHAMPAIGN ALLEN PARK MI 48101
MI,2012-11-06,county,,PRECINCT 3,STOTTLEMYER SCHOOL,34801 MARQUETTE WESTLAND MI 48185
MI,2012-11-06,county,,PRECINCT 1,ALMONT ELEMENTARY,401 CHURCH ST ALMONT MI 48003
MI,2012-11-06,county,,PRECINCT 1,NOTTAWA TWN HALL,112 SOUTH CLARK STREET CENTREVILLE MI 49032
MI,2012-11-06,county,,PRECINCT 4,NEIGEBAUR BUILDING,23200 RYAN ROAD WARREN MI 48091
MI,2012-11-06,county,,PRECINCT 2,THORNAPPLE COVENANT,6595 CASCADE RD SE GRAND RAPIDS MI 49546
MI,2012-11-06,county,,PRECINCT 5,THORNAPPLE COMMUNITY,3260 THORNAPPLE RIVER DR SE GRAND RAPIDS MI 49546
MI,2012-11-06,county,,PRECINCT 9,EDGEWOOD SCHOOL,1826 OSAGE DRIVE OKEMOS MI 48864
MI,2012-11-06,county,,PRECINCT 1,ALPINE COMMUNITY BLD,2015 SEVEN MILE NW COMSTOCK PARK MI 49321
MI,2012-11-06,county,,PRECINCT 8,HATHERLY ELEMENTARY,35201 DAVISON ST STERLING HEIGHTS MI 48310
MI,2012-11-06,county,,PRECINCT 33,HAMILTON SCHOOL,1031 S SCHUMAN WESTLAND MI 48186
MI,2012-11-06,county,,PRECINCT 10,ARROWWOOD COMM CTR,2566 ARROWWOOD TR ANN ARBOR MI 48105
MI,2012-11-06,county,,PRECINCT 1,TOWNSHIP HALL,877 56TH STREET PULLMAN MI 49450
MI,2012-11-06,county,,PRECINCT 2,TRI-COUNTY SPRTSMN'S,8640 MOON RD (1ST FLOOR) SALINE MI 48176
MI,2012-11-06,county,,PRECINCT 4,ALLEN SCHOOL,2560 TOWNER BLVD ANN ARBOR MI 48104
MI,2012-11-06,county,,PRECINCT 2,MILLS TWP HALL,2441 GREENWOOD RD PRESCOTT MI 48756
MI,2012-11-06,county,,PRECINCT 6,SCARLETT MIDDLE SCHL,3300 LORRAINE ST ANN ARBOR MI 48108
MI,2012-11-06,county,,PRECINCT 1,MEADOWBROOK CONGR CH,21355 MEADOWBROOK ROAD NOVI MI 48375
MI,2012-11-06,county,,PRECINCT 8,PITTSFIELD SCHOOL,2543 PITTSFIELD BLVD ANN ARBOR MI 48104
MI,2012-11-06,county,,PRECINCT 9,FARMER'S MARKET,316 E 11 MILE RD ROYAL OAK MI 48067
MI,2012-11-06,county,,PRECINCT 1,ALGONAC HIGH SCHOOL,5200 TAFT ROAD ALGONAC MI 48001
MI,2012-11-06,county,,PRECINCT 1,METZ TOWNSHIP HALL,9385 COUNTY ROAD 441 POSEN MI 49776
MI,2012-11-06,county,,PRECINCT 1,RIGA TOWNSHIP HALL,SOUTH RIGA HWY RIGA MI 49276
MI,2012-11-06,county,,PRECINCT 4,DI ANNE M. PELLERIN ,24001 FV PANKOW BOULEVARD CLINTON TOWNSHIP MI 48036
MI,2012-11-06,county,,PRECINCT 5,WEST KAL CHRIST CHRC,454 SOUTH DRAKE ROAD KALAMAZOO MI 49009
MI,2012-11-06,county,,PRECINCT 6,HOLY FAMILY CATHOLIC,24505 MEADOWBROOK ROAD NOVI MI 48375
MI,2012-11-06,county,,PRECINCT 24,JONAS SALK ELEM,17601 FIFTEEN MILE ROAD CLINTON TOWNSHIP MI 48035
MI,2012-11-06,county,,PRECINCT 1,ROSCOMMON TWP HALL,8555 KNAPP ROAD HOUGHTON LAKE MI 48629
MI,2012-11-06,county,,PRECINCT 25,WYANDOT MIDDLE,39490 GARFIELD CLINTON TOWNSHIP MI 48038
MI,2012-11-06,county,,PRECINCT 1, RILEY TOWNSHIP HALL,7110 W PRATT RD DEWITT MI 48820
MI,2012-11-06,county,,PRECINCT 4,OSCODA TOWNSHIP HALL,110 S STATE STREET OSCODA MI 48750
MI,2012-11-06,county,,PRECINCT 1,AUGRES TWP. HALL,1865 S SWENSON AUGRES MI 48703
MI,2012-11-06,county,,PRECINCT 4,NOVI UNITED METHO CH,41671 TEN MILE ROAD NOVI MI 48375
MI,2012-11-06,county,,PRECINCT 1,COMMUNITY BUILDING,N7569 SPRUCE ST AU TRAIN MI 49806
MI,2012-11-06,county,,PRECINCT 1,WELDON TWP HALL,14731 THOMPSON AVE THOMPSONVILLE MI 49683
MI,2012-11-06,county,,PRECINCT 1,DEARTH COMMUNITY CTR,235 E GARFIELD AVENUE COLDWATER MI 49036
MI,2012-11-06,county,,PRECINCT 1,MIDDLEBURY TWP. HALL,7627 W M-21 OVID MI 48866
MI,2012-11-06,county,,PRECINCT 1,TAYMOUTH COMM HALL,4343 E BIRCH RUN RD BIRCH RUN MI 48415
MI,2012-11-06,county,,PRECINCT 1,COMINS TWP. HALL,1651 N ABBE RD FAIRVIEW MI 48621
MI,2012-11-06,county,,PRECINCT 3,BECC BUILDING,125 S CHURCH STREET BRIGHTON MI 48116
MI,2012-11-06,county,,PRECINCT 7,COBURN SCHOOL,39 FAIRHOME AVE BATTLE CREEK MI 49015
MI,2012-11-06,county,,PRECINCT 1,ROSE CITY HALL,310 N WILLIAMS ST ROSE CITY MI 48654
MI,2012-11-06,county,,PRECINCT 7,FAITH BAPTIST CHURCH,7306 E ATHERTON RD DAVISON MI 48423
MI,2012-11-06,county,,PRECINCT 5,O.P PREP. ACADEMY,23261 SCOTIA OAK PARK MI 48237
MI,2012-11-06,county,,PRECINCT 1,SAFETY COMPLEX BLDG,160 W SUPERIOR ST WAYLAND MI 49348
MI,2012-11-06,county,,PRECINCT 47,NOWLIN SCHOOL,PENN & MADISON DEARBORN MI 48124
MI,2012-11-06,county,,PRECINCT 13,ROSEVILLE CITY HALL,29777 GRATIOT ROSEVILLE MI 48066
MI,2012-11-06,county,,PRECINCT 27,BEDFORD SCHOOL,4650 CROISSANT DEARBORN HEIGHTS MI 48125
MI,2012-11-06,county,,PRECINCT 1,SIEBERT SCHOOL,5700 SIEBERT MIDLAND MI 48640
MI,2012-11-06,county,,PRECINCT 6,RIVERSIDE SCHOOL,650 RIVERSIDE DRIVE BATTLE CREEK MI 49015
MI,2012-11-06,county,,PRECINCT 1,OAKLAND COM. COLLEGE,739 S WASHINGTON ROYAL OAK MI 48067
MI,2012-11-06,county,,PRECINCT 1,CITY HALL,301 WASHINGTON AVENUE BAY CITY MI 48708
MI,2012-11-06,county,,PRECINCT 4,RSVL SCHLS ADMIN BLD,18975 CHURCH ROSEVILLE MI 48066
MI,2012-11-06,county,,PRECINCT 1,MET. TWP FIRE HALL,730 W DRYDEN RD METAMORA MI 48455
MI,2012-11-06,county,,PRECINCT 253,ST JOHN THE GREAT CH,16101 SCHAEFER DETROIT MI 48235
MI,2012-11-06,county,,PRECINCT 36B,CLEVELAND SCHOOL,28030 CATHEDRAL LIVONIA MI 48150
MI,2012-11-06,county,,PRECINCT 14,ST. LUKES CHURCH,1690 W STERNS RD TEMPERANCE MI 48182
MI,2012-11-06,county,,PRECINCT 1,OLIVE TWP HALL,6480 - 136TH AVE HOLLAND MI 49424
MI,2012-11-06,county,,PRECINCT 1,BELVIDERE TWP HALL,207 N CLARK STREET SIX LAKES MI 48886
MI,2012-11-06,county,,PRECINCT 5,ANGELL SCHOOL,3849 BEVERLY BERKLEY MI 48072
MI,2012-11-06,county,,PRECINCT 2,JOHNSON ELEMENTARY,515 GENERAL MOTORS DR MILFORD MI 48381
MI,2012-11-06,county,,PRECINCT 360,GETHSEMANE CHURCH,17701 GLENDALE DETROIT MI 48227
MI,2012-11-06,county,,PRECINCT 27,GRAEBNER ELEMENTARY,41875 SAAL RD STERLING HEIGHTS MI 48313
MI,2012-11-06,county,,PRECINCT 1,KALAMO TOWNSHIP HALL,8960 SPORE HWY VERMONTVILLE MI 49096
MI,2012-11-06,county,,PRECINCT 202,PASTEUR SCHOOL,19811 STOEPEL DETROIT MI 48221
MI,2012-11-06,county,,PRECINCT 1,MITCHELL TWP HALL,6849 W TOWER ROAD CURRAN MI 48728
MI,2012-11-06,county,,PRECINCT 4,CULTURAL CENTER-#04,525 FARMER PLYMOUTH MI 48170
MI,2012-11-06,county,,PRECINCT 3,ESTRAL BCH VLLG HALL,7194 LAKEVIEW NEWPORT MI 48166
MI,2012-11-06,county,,PRECINCT 17,DAKOTA HIGH SCHOOL,21051 21 MILE ROAD MACOMB MI 48044
MI,2012-11-06,county,,PRECINCT 7,OXBOW COMM SCHL,100 OXBOW LAKE RD WHITE LAKE MI 48386
MI,2012-11-06,county,,PRECINCT 391,HOUSE OF PRAYER,16520 WYOMING DETROIT MI 48221
MI,2012-11-06,county,,PRECINCT 1,TOWNSHIP HALL,E1461 DEERTON-SAND LAKE RD DEERTON MI 49822
MI,2012-11-06,county,,PRECINCT 1,PERE MARQUETTE DEPOT,1000 ADAMS ST BAY CITY MI 48708
MI,2012-11-06,county,,PRECINCT 3,PUBLIC SAFETY BLDG.,435 N MICHIGAN AVENUE BIG RAPIDS MI 49307
MI,2012-11-06,county,,PRECINCT 1,VIENNA TWP HALL,2734 M-32 JOHANNESBURG MI 49751
