election_date,state,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
2018-11-06,TX,Bexar,county,"1021,1127",,Rayburn Elementary School,"635 Rayburn Dr.San Antonio, TX 78221"
2018-11-06,TX,Bexar,county,"1023,1015,1022",,Collier Elementary School,"834 W. SouthcrossSan Antonio, TX 78211"
2018-11-06,TX,Bexar,county,"1024,1139",,Pease Middle School,"201 Hunt Ln.San Antonio, TX 78245"
2018-11-06,TX,Bexar,county,1026,,Dwight Middle School,"2454 W. SouthcrossSan Antonio, TX 78211"
2018-11-06,TX,Bexar,county,"1029,1030,1031,1090,1096",,Brentwood Middle School,"1626 W. Thompson Pl.San Antonio, TX 78226"
2018-11-06,TX,Bexar,county,1032,,Gardendale Elementary School,"1731 Dahlgreen Ave.San Antonio, TX 78237"
2018-11-06,TX,Bexar,county,1034,,Ralph Langley Elementary School,"14185 Bella VistaSan Antonio, TX 78253"
2018-11-06,TX,Bexar,county,"1036,1033,1035,1095,1131,1132,1134,1135",,Valley Hi Elementary School,"8503 Ray Ellison Blvd.San Antonio, TX 78227"
2018-11-06,TX,Bexar,county,1037,,Frank Madla Elementary School,"6100 Royalgate Dr.San Antonio, TX 78242"
2018-11-06,TX,Bexar,county,1038,,Five Palms Elementary School,"7138 Five Palms Dr.San Antonio, TX 78242"
2018-11-06,TX,Bexar,county,"1040,1025",,"Miguel Carrillo, Jr. Elementary School","500 Price Ave. San Antonio, TX 78211"
2018-11-06,TX,Bexar,county,1042,,Palo Alto Elementary School,"1725 Palo Alto RdSan Antonio, TX 78211"
2018-11-06,TX,Bexar,county,"1045,1041",,South San Antonio High School,"7535 Barlite Blvd.San Antonio, TX 78224"
2018-11-06,TX,Bexar,county,"1046,1044",,Ramirez Community Center,"1011 Gillette Blvd. San Antonio, TX 78224"
2018-11-06,TX,Bexar,county,1047,,Vestal Elementary School,"1111 W. Vestal Pl.San Antonio, TX 78221"
2018-11-06,TX,Bexar,county,1048,,Gillette Elementary School,"625 Gillette Blvd.San Antonio, TX 78221"
2018-11-06,TX,Bexar,county,"1049,1051,1052",,Precinct 1 Satellite Office,"3505 Pleasanton Rd. San Antonio, TX78221"
2018-11-06,TX,Bexar,county,"1050,1053",,Harlandale Community Center (Gym),"7227 Briar PlSan Antonio, TX 78221"
