state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Black Hawk,W104,Precinct W104,W104 IRV WARREN MEM. GOLF PRO SHOP,"1000 FLETCHER AV, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W504,Precinct W504,W504 KIMBALL RIDGE CENTER,"2101 KIMBALL AV, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,W101,Precinct W101,W101 ASCENSION LUTHERAN CHURCH,"2211 MAYNARD AV, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W505,Precinct W505,W505 ZION LUTHERAN CHURCH,"810 KIMBALL AV, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,X301,Precinct X301,X301 CEDAR FALLS SCHOOL ADMIN. BLDG.,"1002 W 1ST ST, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,C000,Big Creek/La Porte City,C000  UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY IA 50651"
IA,2012-11-06,county,Black Hawk,X103,Precinct X103,X103 CEDAR FALLS CITY HALL,"220 CLAY ST, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W205,Precinct W205,"W205 HAWKEYE CENTER, HCC CAMPUS","1501 E ORANGE RD, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,X503,Precinct X503,X503 TRINITY BIBLE CHURCH,"125 ORCHARD DR , CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,X502,Precinct X502,X502 ORCHARD HILL CHURCH,"3900 ORCHARD HILL DR, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,X501,Precinct X501,X501 ST TIMOTHY UNITED METHODIST CHURCH,"3220 TERRACE DR, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,X202,Precinct X202 & CF Twp,X202 BETHLEHEM LUTHERAN CHURCH,"4000 HUDSON RD, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W106,Precinct W106,W106 CEDAR VALLEY COMMUNITY CHURCH,"3520 ANSBOROUGH AVE (EAST ENTRANCE), WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W305,Precinct W305,W305 OUR SAVIORS LUTHERAN CHURCH,"420 HARWOOD AV, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,X401,Precinct X401,X401 CEDAR HGTS. COMM. PRESBYTERIAN CHURCH,"2015 RAINBOW DR, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,X302,Precinct X302,X302 CHURCH OF CHRIST,"2727 W 4TH ST, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W204,Precinct W204,W204 LANDMARK COMMONS,"1400 MAXHELEN BLVD, WATERLOO IA 50702"
