state,jurisdiction_type,county_name,precinct_name,name,address
KY,county,,FT MITCHELL #2,FT MITCHELL CITY BLDG,2355 DIXIE HWY FT MITCHELL KY 41017
KY,county,,FT MITCHELL #3,FT MITCHELL CITY BLDG,2355 DIXIE HWY FT MITCHELL KY 41017
KY,county,,FT. MITCHELL #1,FT MITCHELL CITY BLDG,2355 DIXIE HWY FT MITCHELL KY 41017
KY,county,,EXIE,EXIE FIRE DEPARTMENT,8629 EDMONTON RD GREENSBURG KY 42743
KY,county,,SOLDIER,SOLDIER WESELYAN CHURCH,7915 STATE HWY 174 OLIVE HILL KY 41164
KY,county,,NORTH SUMMERSVILLE,SUMMERSVILLE FIRE DEPARTMENT,6054 HODGENVILLE RD SUMMERSVILLE KY 42782
KY,county,,ILSLEY 40,DAWSON SPRINGS LIBRARY ,103 W RAMSEY ST DAWSON SPRINGS KY 42408
KY,county,,DAWSON 39,DAWSON SPRINGS LIBRARY ,103 W RAMSEY ST DAWSON SPRINGS KY 42408
KY,county,,DAWSON 37,DAWSON SPRINGS LIBRARY ,103 W RAMSEY ST DAWSON SPRINGS KY 42408
KY,county,,DAWSON 38,DAWSON SPRINGS LIBRARY ,103 W RAMSEY ST DAWSON SPRINGS KY 42408
KY,county,,EAST HAWESVILLE,IMMACULATE CONCEPTION CHURCH HAL,230 COURT SQUARE HAWESVILLE KY 42348
KY,county,,ROUGH CREEK,BUSH FIRE DEPARTMENT #2,4257 E LAUREL RD LONDON KY 40741
KY,county,,ROUGH CREEK #2,BUSH FIRE DEPARTMENT #2,4257 E LAUREL RD LONDON KY 40741
KY,county,,FIVE,SOUTH ALLEN VOLUNTEER FIRE DEPT,6700 MOUNT UNION RD SCOTTSVILLE KY 42164
KY,county,,GAINS-HOLMES,MEMORIAL BAPTIST CHURCH,130 HOLMES ST FRANKFORT KY 40601
KY,county,,KEVIL,COMMUNITY BUILDING,273 WYATT AVE KEVIL KY 42053
KY,county,,INDIAN CREEK,PATESVILLE BAPTIST CHURCH,3965 ST RT 144 E HAWESVILLE KY 42348
KY,county,,WARD 1 PRECINCT 4,MASONIC LODGE HALL,1211 S 9TH ST MAYFIELD KY 42066
KY,county,,E-TOWN NORTH,T K STONE MIDDLE SCHOOL,323 MORNINGSIDE DR ELIZABETHTOWN KY 42701
KY,county,,D4,SOULS HARBOR CHURCH,5231 LOUISVILLE RD COXS CREEK KY 40013
KY,county,,PASCAL,HARDYVILLE FIRE DEPT SUBSTATION,19 L.W. NEAL RD HARDYVILLE KY 42746
KY,county,,GLENDALE,GLENDALE CHRISTIAN CHURCH,119 N MAIN ST GLENDALE KY 42740
KY,county,,CUB RUN,COMMUNITY CENTER BLDG,104 E GAP HILL RD CUB RUN KY 42749
KY,county,,COVINGTON #36,HOLMES HIGH FIELD HOUSE (MAIN ENTRANCE),2500 MADISON AVE COVINGTON KY 41014
KY,county,,COVINGTON #41,HOLMES HIGH FIELD HOUSE (MAIN ENTRANCE),2500 MADISON AVE COVINGTON KY 41014
KY,county,,VALLEY CREEK,VAUGHN RENO STARKS COMM BLDG,105 BISHOP AVE ELIZABETHTOWN KY 42701
KY,county,,EDGEWOOD #5,ST PIUS CHURCH MTG RM #1 (ENTRANCE NEXT TO CHURCH),348 DUDLEY RD EDGEWOOD KY 41017
KY,county,,EDGEWOOD #6,ST PIUS CHURCH MTG RM #1 (ENTRANCE NEXT TO CHURCH),348 DUDLEY RD EDGEWOOD KY 41017
KY,county,,MAGNOLIA,MAGNOLIA FIRE DEPT.,9106 NEW JACKSON HWY MAGNOLIA KY 42757
KY,county,,MOTLEY,CROSSPOINT CHURCH,5737 CEMETERY RD BOWLING GREEN KY 42103
KY,county,,DONALDSON,DONALDSON BAPTIST CHURCH FELLOWSHIP HALL,104 ENON ROAD PRINCETON KY 42445
KY,county,,UNIONTOWN #2,UNIONTOWN KNIGHTS OF COLUMBUS HALL,510 SIXTH ST UNIONTOWN KY 42461
KY,county,,YEAMAN,COMMUNITY BUILDING,6584 YEAMAN RD FALLS OF ROUGH KY 40119
KY,county,,SINKING FORK ELEMENTARY,SINKING FORK ELEMENTARY SCHOOL,5005 PRINCETON RD HOPKINSVILLE KY 42240
KY,county,,E-TOWN WEST,PRITCHARD COMMUNITY CENTER,404 S MULBERRY ST ELIZABETHTOWN KY 42701
KY,county,,B1,PARKWAY BAPTIST CHURCH,2580 SPRINGFIELD RD BARDSTOWN KY 40004
KY,county,,GOTT,GOTT COMMUNITY CENTER,5656 PORTER PIKE BOWLING GREEN KY 42103
KY,county,,BIG SPRINGS,CASH BLDG,100 CASH DR PRINCETON KY 42445
KY,county,,EDDY CREEK,CASH BLDG,100 CASH DR PRINCETON KY 42445
KY,county,,EAST VIEW,WEST HARDIN MIDDLE SCHOOL,10471 LEITCHFIELD RD STEPHENSBURG KY 42732
KY,county,,LYONS,ROLLING FORK CHRISTIAN CHURCH,2630 LYONS STATION RD NEW HAVEN KY 40051
KY,county,,RUSSELL #2,PLAZA NAZARENE CHURCH LIFE CTR,400 DIEDERICH BLVD RUSSELL KY 41169
KY,county,,FLATWOODS #4,PLAZA NAZARENE CHURCH LIFE CTR,400 DIEDERICH BLVD RUSSELL KY 41169
KY,county,,POLLARD,THE FORMER HATCHER SCHOOL,1820 HICKMAN ST ASHLAND KY 41101
KY,county,,LEWIS,THE FORMER HATCHER SCHOOL,1820 HICKMAN ST ASHLAND KY 41101
KY,county,,BRIARWOOD,EASTWOOD BAPTIST CHURCH,500 EASTWOOD ST BOWLING GREEN KY 42103
KY,county,,EASTWOOD,EASTWOOD BAPTIST CHURCH,500 EASTWOOD ST BOWLING GREEN KY 42103
KY,county,,FAIRVIEW,EASTWOOD BAPTIST CHURCH,500 EASTWOOD ST BOWLING GREEN KY 42103
KY,county,,VINE GROVE SOUTH,ST BRIGID CHURCH,306 E MAIN ST VINE GROVE KY 40175
KY,county,,LINCOLN TRAIL NORTH,ETOWN TOURISM & CONVENTION,1030 N MULBERRY ST ELIZABETHTOWN KY 42701
KY,county,,PRECINCT 105 46 DISTRICT,HARTSTERN ELEMENTARY SCHOOL GYM,5200 MORNINGSIDE WAY LOUISVILLE KY 40219
KY,county,,PRECINCT 113 46 DISTRICT,HARTSTERN ELEMENTARY SCHOOL GYM,5200 MORNINGSIDE WAY LOUISVILLE KY 40219
KY,county,,NORTH KUTTAWA,FIRE DISTRICT 2 BLDG,5464 US HWY 62 W KUTTAWA KY 42055
KY,county,,FOUR,CEDAR SPRINGS #2,7815 BROWNSFORD RD SCOTTSVILLE KY 42164
KY,county,,GAMBLIN 37,TATEVILLE FIRE STATION,51 HOMESTEAD DR TATEVILLE KY 42558
KY,county,,COLESBURG,COLESBURG BAPTIST CHURCH,345 COLESBURG RD ELIZABETHTOWN KY 42701
KY,county,,PRECINCT 148 32 DISTRICT,DUNN ELEMENTARY SCHOOL GYM,2010 RUDY LN LOUISVILLE KY 40207
KY,county,,MINERVA 9,BRACKEN BAPTIST CHURCH MINERVA,3425 DOVER MINERVA RD MINERVA KY 41062
KY,county,,RACELAND #1,OLD RACELAND HIGH SCHOOL GYM,600 RAM BLVD RACELAND KY 41169
KY,county,,RACELAND #2,OLD RACELAND HIGH SCHOOL GYM,600 RAM BLVD RACELAND KY 41169
KY,county,,SMITH MILLS,SMITH MILLS FIRE DEPT,6027 HWY 136 W SMITH MILLS KY 42451
KY,county,,LONDON #6,FIRE DEPARTMENT ON DIXIE STREET,500 DIXIE ST LONDON KY 40741
KY,county,,LONDON #7,FIRE DEPARTMENT ON DIXIE STREET,500 DIXIE ST LONDON KY 40741
KY,county,,LONDON #5,FIRE DEPARTMENT ON DIXIE STREET,500 DIXIE ST LONDON KY 40741
KY,county,,LONDON #4,FIRE DEPARTMENT ON DIXIE STREET,500 DIXIE ST LONDON KY 40741
KY,county,,RADCLIFF SOUTHWEST,MEADOWVIEW ELEMENTARY,1255 WEST VINE STREET RADCLIFF KY 40160
KY,county,,WALKERTOWN,HAZARD MIDDLE SCHOOL,325 SCHOOL STREET HAZARD KY 41701
KY,county,,TURNER,HAZARD MIDDLE SCHOOL,325 SCHOOL STREET HAZARD KY 41701
KY,county,,WEST GILBERTSVILLE,1ST BAPTIST CHURCH,2114 GILBERTSVILLE HWY GILBERTSVILLE KY 42044
KY,county,,GILBERTSVILLE,1ST BAPTIST CHURCH,2114 GILBERTSVILLE HWY GILBERTSVILLE KY 42044
KY,county,,CASH,UPTON COMMUNITY BLDG,377 COLLEGE ST UPTON KY 42784
KY,county,,UPTON,UPTON COMMUNITY BLDG,377 COLLEGE ST UPTON KY 42784
KY,county,,PRECINCT 135 44 DISTRICT,JOHNSONTOWN ROAD ELEMENTARY SCHOOL,7201 JOHNSONTOWN RD LOUISVILLE KY 40272
KY,county,,GREENUP #1,GREENUP COUNTY COURTHOUSE,301 MAIN ST GREENUP KY 41144
KY,county,,READY,READY COMMUNITY BUILDING,4055 BOWLING GREEN RD CANEYVILLE KY 42721
KY,county,,DEVON #2,MARKESBERY MOVING & STORAGE,7370 INDUSTRIAL RD FLORENCE KY 41042
KY,county,,PRECINCT 113 43 DISTRICT,BETHEL BAPTIST CHURCH,3540 GARLAND AVE LOUISVILLE KY 40211
KY,county,,PRECINCT 139 43 DISTRICT,BETHEL BAPTIST CHURCH,3540 GARLAND AVE LOUISVILLE KY 40211
KY,county,,MOUTH OF MUD,WPRG CHANNEL 5 BUILDING,98 CHURCH RD STE 102 HAROLD KY 41635
KY,county,,ROCKPORT,ROCKPORT CITY BUILDING,9128 US HWY 62 W ROCKPORT KY 42369
KY,county,,PRECINCT 107 43 DISTRICT,YOUNG ELEMENTARY SCHOOL BACK LOBBY,3526 W MUHAMMAD ALI BLVD LOUISVILLE KY 40212
KY,county,,MITCHELLS STORE,PARADISE METHODIST CHURCH,833 PARADISE RD GRAND RIVERS KY 42045
KY,county,,EAST SHELBY,EXTENSION OFFICE,1117 FRANKFORT RD SHELBYVILLE KY 40065
KY,county,,NAOMI EAST 44,NAOMI VOLUNTEER FIRE DEPT,3355 HWY 1664 NANCY KY 42544
KY,county,,NAOMI WEST 44,NAOMI VOLUNTEER FIRE DEPT,3355 HWY 1664 NANCY KY 42544
KY,county,,PRECINCT 109 46 DISTRICT,CENTRAL GOVERNMENT CENTER,7201 OUTER LP LOUISVILLE KY 40228
KY,county,,PRECINCT 114 46 DISTRICT,CENTRAL GOVERNMENT CENTER,7201 OUTER LP LOUISVILLE KY 40228
KY,county,,SOM 2 CITY HALL,SOMERSET ENERGY CENTER,306 EAST MOUNT VERNON ST SOMERSET KY 42501
KY,county,,GIRDLER,GIRDLER SCHOOL,5452 N KY 11 GIRDLER KY 40943
KY,county,,CALLEBS CREEK,GIRDLER SCHOOL,5452 N KY 11 GIRDLER KY 40943
KY,county,,EXTENSION SERVICE EAST,EXTENSION SERVICE,1463 W MAIN ST GLASGOW KY 42141
KY,county,,EXTENSION SERVICE WEST,EXTENSION SERVICE,1463 W MAIN ST GLASGOW KY 42141
KY,county,,MEMORIAL,G C BURKHEAD ELEM SCHOOL,1323 ST JOHN RD ELIZABETHTOWN KY 42701
KY,county,,PRECINCT 182 29 DISTRICT,FRATERNAL ORDER OF EAGLES,3501 COLLEGE DR LOUISVILLE KY 40299
