state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,PITTSBURGH 25 06,CLAYTON SCH GRD LVL CAFETERIA,1901 CLAYTON AVE PITTSBURGH PA,polling_location
PA,2012-11-06,county,,CHESTER CITY 2ND WARD 2ND PRECINCT,STETSER SCHOOL,17TH &amp;amp; CHESTNUT ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,HORSHAM 1-2,BLAIR MILL ELEMENTARY SCHOOL,109 BENDER RD HATBORO PA 19040,polling_location
PA,2012-11-06,county,,BELLEVUE 03 02,BELLEVUE BORO FIRE HALL,537 BAYNE AVE BELLEVUE PA 15202,polling_location
PA,2012-11-06,county,,EAST NORRITON 1-3,PAUL FLY ELEMENTARY SCHOOL,2920 POTSHOP RD NORRISTOWN PA 19403,polling_location
PA,2012-11-06,county,,LIMERICK 1,ST JAMES UNITED CHURCH OF CHRIST,321 S LIMERICK RD ROYERSFORD PA 19468,polling_location
PA,2012-11-06,county,,CHESTER CITY 1ST WARD 4TH PRECINCT,CHESTER FIRE STATION 82,320 E 14TH ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,HORSHAM 1-1,KEITH VALLEY MIDDLE SCHOOL,227 MEETINGHOUSE RD HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,ABINGTON 14-2,ROSLYN FIRE HOUSE,1128 BRADFIELD RD ABINGTON PA 19001,polling_location
PA,2012-11-06,county,,MONROE TWP NO 1,SUSQUEHANNA VALLEY MALL COMMUNITY ROOM,1025 N SUSQUEHANNA TRL SELINSGROVE PA 17870,polling_location
PA,2012-11-06,county,,HORSHAM 2-3,HORSHAM TOWNSHIP BUILDING,1025 HORSHAM RD HORSHAM PA,polling_location
PA,2012-11-06,county,,FARMINGTON TWP. WEST,LEEPER FIRE HALL,32787 ROUTE 66 LEEPER PA,polling_location
PA,2012-11-06,county,,CHELTENHAM 1-3,GLENSIDE ELEMENTARY SCHOOL,400 HARRISON AVE GLENSIDE PA 19038,polling_location
PA,2012-11-06,county,,HATFIELD 1-1,A. M. KULP ELEMENTARY SCHOOL,801 COWPATH RD COLMAR PA 18915,polling_location
PA,2012-11-06,county,,TUNNELHILL(B),TUNNELHILL BOROUGH MUNICIPAL BLDG.,808 PORTAGE ST GALLITZIN PA,polling_location
PA,2012-11-06,county,,CHESTER CITY 9TH WARD 3RD PRECINCT,RUTH L BENNETT COMMUNITY CENTER,1350 9TH ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,CHESTER CITY 7TH WARD 3RD PRECINCT,CHRISTOPHER COLUMBUS SCHOOL,10TH &amp;amp; FULTON ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,HATFIELD 2-1,HATFIELD TOWNSHIP MUNICIPAL BLDG,1950 SCHOOL RD HATFIELD PA 19440,polling_location
PA,2012-11-06,county,,RICHLAND(T)#9,ARBUTUS PARK RETIREMENT COMMUNITY RECREATION HALL,207 OTTAWA ST JOHNSTOWN PA,polling_location
PA,2012-11-06,county,,BETHEL PARK 08 03,MUNICIPAL BLDG COUNCIL CHAMBERS,5100 W LIBRARY AVE BETHEL PARK PA,polling_location
PA,2012-11-06,county,,CHESTER CITY 10TH WARD 2ND PRECINCT,J LEWIS CROZER LIBRARY,620 ENGLE ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,SELINSGROVE NO 1,SHARON LUTHERAN CHURCH,120 S MARKET ST SELINSGROVE PA 17870,polling_location
PA,2012-11-06,county,,PITTSBURGH 10 05,SUNNYSIDE SCHOOL FOYER,4801 STANTON AVE PITTSBURGH PA,polling_location
