state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ALLEGHENY,1681201,MCKEESPORT 12 01,MAPLEWOOD KIDS INC GYM,"3915 MAPLEWOOD ST, MCKEESPORT, PA"
PA,2018-11-06,county,ALLEGHENY,1681202,MCKEESPORT 12 02,FIRST EVANG FREE CHURCH YOUTH CENTER,"4001 UNIVERSITY DR, MCKEESPORT, PA"
PA,2018-11-06,county,ALLEGHENY,1681203,MCKEESPORT 12 03,SERRA CATHOLIC HIGH SCHOOL,"200 HERSHEY DR, MC KEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1690101,MCKEES ROCKS 01 01,HAYS MANOR COMMUNITY CENTER,"205 LOCUST ST, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1690102,MCKEES ROCKS 01 02,MCKEES ROCKS BOROUGH BLDG,"340 BELL AVE, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1690201,MCKEES ROCKS 02 01,HOLY GHOST SCHOOL,"224 HELEN ST, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1690202,MCKEES ROCKS 02 02,HOLY GHOST SCHOOL,"224 HELEN ST, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1690301,MCKEES ROCKS 03 01,VFW VESLEY POST 418,"1242 CHARTIERS AVE, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1690302,MCKEES ROCKS 03 02,VFW VESLEY POST 418,"1242 CHARTIERS AVE, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1690303,MCKEES ROCKS 03 03,VFW VESLEY POST 418,"1242 CHARTIERS AVE, MCKEES ROCKS, PA 15136"
PA,2018-11-06,county,ALLEGHENY,1700001,MILLVALE 00 01,MILLVALE COMMUNITY  CENTER,"416 LINCOLN AVE, MILLVALE, PA 15209"
