state,county_name,municipality,precinct_id,name,address
RI,,FOSTER,1202,WOODY LOWDEN RECREATIONAL CENTER,"16 HOWARD HILL RD, FOSTER, RI 00000"
RI,,FOSTER,1203,TOWN HALL - LIMITED,"181 HOWARD HILL RD, FOSTER, RI 00000"
RI,,GLOCESTER,1301,PONAGANSET MIDDLE SCHOOL,"7 RUSTIC HILL RD, GLOCESTER, RI 00000"
RI,,GLOCESTER,1302,WEST GLOCESTER ELEMENTARY SCHOOL,"111 REYNOLDS RD, GLOCESTER, RI 00000"
RI,,GLOCESTER,1303,GLOCESTER SENIOR CENTER,"1210 PUTNAM PIKE, GLOCESTER, RI 00000"
RI,,GLOCESTER,1304,FOGARTY ELEMENTARY SCHOOL,"736 SNAKE HILL RD, GLOCESTER, RI 00000"
RI,,GLOCESTER,1305,TOWN HALL - LIMITED,"1145 PUTNAM PIKE, GLOCESTER, RI 00000"
RI,,HOPKINTON,1401,ASHAWAY ELEMENTARY SCHOOL,"12 HILLSIDE AVE, HOPKINTON, RI 00000"
RI,,HOPKINTON,1402,HOPE VALLEY ELEMENTARY SCHOOL - CAFETERIA,"15 THELMA DR, HOPKINTON, RI 00000"
RI,,HOPKINTON,1403,ST. JOSEPH'S CHURCH,"1105 MAIN ST, HOPKINTON, RI 00000"
RI,,HOPKINTON,1404,TOWN HALL - LIMITED,"1 TOWNHOUSE RD, HOPKINTON, RI 00000"
RI,,JAMESTOWN,1501,JAMESTOWN RECREATION CENTER,"41 CONANICUS AVE, JAMESTOWN, RI 00000"
RI,,JAMESTOWN,1502,LAWN AVENUE SCHOOL,"55 LAWN AVE, JAMESTOWN, RI 00000"
RI,,JAMESTOWN,1503,TOWN HALL LIMITED,"93 NARRAGANSETT AVE, JAMESTOWN, RI 00000"
RI,,JOHNSTON,1601,WINSOR HILL SCHOOL,"100 THERESA AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1602,SIMMONSVILLAGE COMMUNITY HALL,"339 SIMMONSVILLE AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1603,CLAIBORNE PELL MANOR,"1609 PLAINFIELD PIKE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1604,NICHOLAS FERRI MIDDLE SCHOOL - CAFETERIA,"10 MEMORIAL AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1605,LOCAL 57 TRAINING FACILITY,"875 CENTRAL AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1606,SARAH DYER BARNES- LIBRARY,"24 BARNES AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1607,GEORGE CALEF SCHOOL,"7 WAVELAND ST, JOHNSTON, RI 00000"
RI,,JOHNSTON,1608,GEORGE C. CALEF SCHOOL - CAFETERIA,"7 WAVELAND ST, JOHNSTON, RI 00000"
RI,,JOHNSTON,1609,AIME J. FORAND HOUSING,"8 FORAND CIR, JOHNSTON, RI 00000"
RI,,JOHNSTON,1610,GRANITEVILLE SCHOOL - CAFETERIA,"6 COLLINS AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1611,SARAH DYER BARNES - CAFETERIA,"24 BARNES AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1612,JOHNSTON HIGH SCHOOL,"345 CHERRY HILL RD, JOHNSTON, RI 00000"
RI,,JOHNSTON,1613,BROWN AVE SCHOOL,"14 BROWN AVE, JOHNSTON, RI 00000"
RI,,JOHNSTON,1614,TOWN HALL - LIMITED,"1385 HARTFORD AVE, JOHNSTON, RI 00000"
RI,,LINCOLN,1701,LINCOLN MIDDLE SCHOOL,"152 JENCKES HILL RD, LINCOLN, RI 00000"
RI,,LINCOLN,1702,ALBION YOUTH CENTER,"35 SCHOOL ST, LINCOLN, RI 00000"
RI,,LINCOLN,1703,ST JAMES SCHOOL,"57 DIVISION ST, LINCOLN, RI 00000"
RI,,LINCOLN,1704,SAYLESVILLE SCHOOL,"50 WOODLAND ST, LINCOLN, RI 00000"
RI,,LINCOLN,1705,LONSDALE ELEMENTARY,"280 RIVER RD, LINCOLN, RI 00000"
RI,,LINCOLN,1706,KNIGHTS OF COLUMBUS,"171 JENCKES HILL RD, LINCOLN, RI 00000"
RI,,LINCOLN,1707,ST BASIL'S CHURCH,"15 SKYVIEW DR, LINCOLN, RI 00000"
RI,,LINCOLN,1708,CENTRAL ELEMENTARY,"1061 GREAT RD, LINCOLN, RI 00000"
RI,,LINCOLN,1709,LINCOLN HIGH SCHOOL NORTH GYM,"160 OLD RIVER RD, LINCOLN, RI 00000"
