state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,election_date
NM,county,Catron,Glenwood,Glenwood Community Center,"21 Menges Ln, Glenwood, NM, 88039",vote_center,11/06/2018
NM,county,Chaves,Roswell,East Grand Plains Elementary School,"3773 East Grand Plains, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,Roswell Museum & Art Center,"100 W. 11th, Roswell, NM, 88201",vote_center,11/06/2018
NM,county,Chaves,Hagerman,Hagerman Joy Center - Election Day,"503 E. Argyle, Hagerman, NM, 88232",vote_center,11/06/2018
NM,county,Chaves,Dexter,Central Office Dexter Schools,"100 N. Lincoln, Dexter, NM, 88230",vote_center,11/06/2018
NM,county,Chaves,Roswell,SPARE 1 - ELECTION DAY,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,Roswell Mall - Election Day,"4501 N Main, Roswell, NM, 88201",vote_center,11/06/2018
NM,county,Chaves,Roswell,SPARE 6 - ELECTION DAY,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,West Country Club Church of Christ,"700 W. Country Club, Roswell, NM, 88201",vote_center,11/06/2018
NM,county,Chaves,Roswell,SPARE 4 - ELECTION DAY,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,SPARE 2 - ELECTION DAY,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,Church On The Move,"901 W. Brasher, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Lake Arthur,Lake Arthur Schools,"700 W Broadway, Lake Arthur, NM, 88253",vote_center,11/06/2018
NM,county,Chaves,Roswell,Clerk's Office - Election Day,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,SPARE 5 - ELECTION DAY,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Chaves,Roswell,Nazarene - Country Club,"901 E. Country Club, Roswell, NM, 88201",vote_center,11/06/2018
NM,county,Chaves,Roswell,SPARE 3 - ELECTION DAY,"#1 St. Mary's Place, Roswell, NM, 88203",vote_center,11/06/2018
NM,county,Cibola,Mesita,Mesita Facility,"1 Industrial Parkway Loop, Mesita, NM, 87040",polling_place,11/06/2018
NM,county,Cibola,Grants,Cibola County Clerk's Office (VCC),"700 E. Roosevelt Suite 50, Grants, NM, 87020",vote_center,11/06/2018
NM,county,Cibola,Ramah,Ramah Chapter House,"Route 2 Mt. View Community, Ramah, NM, 87321",polling_place,11/06/2018
NM,county,Cibola,Paguate,Paguate Community Center,"60 Paguate Day School Road, Paguate, NM, 87040",polling_place,11/06/2018
NM,county,Cibola,Grants,Cibola County Complex (VCC),"515 W. High St., Grants, NM, 87020",vote_center,11/06/2018
NM,county,Cibola,Cubero,Cubero Elementary School,"100 Main Street, Cubero, NM, 87014",polling_place,11/06/2018
NM,county,Cibola,Fence Lake,Fence Lake Community Center,"2125 Hwy 36, Fence Lake, NM, 87315",polling_place,11/06/2018
NM,county,Cibola,Seboyeta,Seboyeta Elementary School,"State Road 279, Seboyeta, NM, 87014",polling_place,11/06/2018
NM,county,Cibola,Thoreau,Bluewater Acres Fire Station,"9 Cod Drive, Thoreau, NM, 87323",polling_place,11/06/2018
NM,county,Cibola,Paraje,Paraje Recreation Hall,"31 Paraje Road, Paraje, NM, 87007",polling_place,11/06/2018
NM,county,Cibola,Encinal,Encinal Recreation Hall,"5 Flagstone Road, Encinal, NM, 87038",polling_place,11/06/2018
NM,county,Cibola,San Mateo,San Mateo Fire Station,"110 San Mateo Main Street, San Mateo, NM, 87020",polling_place,11/06/2018
NM,county,Cibola,Bluewater,Bluewater Senior Center,"5 Pinon Street, Bluewater, NM, 87005",polling_place,11/06/2018
NM,county,Cibola,Seama,Seama Recreation Hall,"13 Sacred Shield Road, Seama, NM, 87007",polling_place,11/06/2018
NM,county,Cibola,Laguna,Laguna Tribal Building,"22 Capital Road, Laguna, NM, 87026",polling_place,11/06/2018
NM,county,Cibola,Milan,Milan Parks & Recreation (VCC),"407 Airport Road, Milan, NM, 87021",vote_center,11/06/2018
NM,county,Cibola,Acoma,Acoma Tribal Auditorium,"33A Pinsbaari Drive, Acoma, NM, 87034",polling_place,11/06/2018
NM,county,Colfax,Raton,Raton Convention Center,"901 S. 3rd Street, Raton, NM, 87740",vote_center,11/06/2018
NM,county,Colfax,Raton,St PatrickSt Joseph's Parish Hall ,"104 Buena Vista, Raton, NM, 87740",vote_center,11/06/2018
NM,county,Curry,Texico,Pleasant Hill Fire Department,"304 SR 77, Texico, NM, 88135",vote_center,11/06/2018
NM,county,Curry,Clovis,Spare - ED,"417 Gidding Street, Suite 130, Clovis, NM, 88101",vote_center,11/06/2018
NM,county,Curry,Clovis,Roy Walker Center,"316 W 2nd Street, Clovis, NM, 88101",vote_center,11/06/2018
NM,county,Curry,Clovis,Farmer's Electric Cooperative,"3701 N Thornton St, Clovis, NM, 88101",vote_center,11/06/2018
