county_name,municipality,precinct_id,name,address
BERKELEY,BUNKER HILL,51A,BUNKER HILL UNITED METHODIST CHURCH,"9863 WINCHESTER AVENUE, BUNKER HILL, WV 25413"
BOONE,DANVILLE,2,GREENVIEW - RAMAGE ELEMENTARY,"15908 SPRUCE RIVER RD, DANVILLE, WV 25053"
BOONE,CHAPMANVILLE,3,MANILA - MANILA ELEMENTARY/TRUCK DRIVING ACADEMY,"193 ACADEMY DRIVE, CHAPMANVILLE, WV 25508"
BOONE,JEFFREY,4,JEFFREY/OTTAWA - SPRUCE RIVER COMMUNITY CENTER,"18044 SPRUCE RIVER ROAD, JEFFREY, WV 25114"
BOONE,MADISON,7,LOW GAP - MADISON ELEMENTARY,"150 JOSEPHINE AVE, MADISON, WV 25130"
BOONE,HEWETT,9,HEWETT - SPRUCE RIVER VOL FIRE DEPT,"620 HEWETT CREEK ROAD, HEWETT, WV 25108"
BOONE,DANVILLE,11,LICK CREEK/TURTLE CREEK-BOONE CO HEALTH DEPT,"213 KENMORE DRIVE, DANVILLE, WV 25053"
BOONE,MADISON,12,MADISON - VETERAN'S MEMORIAL BLDG,"269 WASHINGTON AVE, MADISON, WV 25130"
BOONE,MADISON,13,COURTHOUSE - MADISON COURTHOUSE,"200 STATE STREET, MADISON, WV 25130"
BOONE,DANVILLE,14,DANVILLE - DANVILLE COMMUNITY CENTER,"731 HOPKINS AVE, DANVILLE, WV 25053"
BOONE,FOSTER,15,FOSTER/LORY - BROOKVIEW ELEMENTARY SCHOOL,"1 LEARNING WAY, FOSTER, WV 25081"
BOONE,JULIAN,17,JULIAN - LORY BAPTIST CHURCH,"180 LORY CHURCH ROAD, JULIAN, WV 25529"
BOONE,MORRISVALE,18,MORRISVALE - MORRISVALE COMMUNITY CENTER,"6492 HORSE CREEK ROAD, MORRISVALE, WV 25053"
BOONE,MADISON,19,W. MADISON - MADISON MIDDLE SCHOOL,"404 RIVERSIDE DRIVE, MADISON, WV 25130"
BOONE,PEYTONA,22,PEYTONA - PEYTONA CHURCH OF CHRIST,"23967 DANIEL BOONE PARKWAY, PEYTONA, WV 25154"
BOONE,ASHFORD,23,NELLIS - ASHFORD ELEMENTARY,"1649 ASHFORD-NELLIS RD, ASHFORD, WV 25009"
BOONE,ASHFORD,25,ASHFORD - ASHFORD ELEMENTARY,"1649 ASHFORD-NELLIS RD, ASHFORD, WV 25009"
BOONE,RACINE,30,RACINE - RACINE COMMUNITY CENTER,"446 JOHN SLACK CIRCLE, RACINE, WV 25165"
BOONE,COMFORT,31,SHERMAN - SHERMAN ELEMENTARY,"7487 COAL RIVER ROAD, COMFORT, WV 25049"
